"LkupInteractionID","FdInteraction"
"358","infested by parasites from the families Argulidae, Bomolochidae, Caligidae, Lernaeopodidae, Pennellidae, Diplangidae, Monorchiidae, Opecoelidae, Zoogonidae, Cymothoidae, Diclidophoridae, and Myxiidae"
"359","Juveniles: assoc. w/ cheekspot goby and giant kelpfish in bays, w/ speckled sanddab and spotted turbot along coast"
"360","parasite: digenea (Tubulovesicula lindbergi), nematoda (Anisaka sp. larval)"
"361","hybridizes with starry flounder"
"362","parasites: fungus(Saprolengnia sp.), Myosporidia (Myxobolus esiguus), Actinomyces (Actinomyces sp.), Trematoda (Microcotyle mugilis, Microcotyle psuedomugilis, Microcotylye macracantha, Mesostephanus appendiculatoides, Phagicola longa, Stephanostomum sp., Hysterolecitha elongata, Dicrogaster sp., Haplorchis taichui, Stellantchionus falcatus, Centrocestus formosanus, Centrocaecum spiculigerum, Strictodora sawakinensis, Parascotyle longa, Haploporus longicolum, Haploporus benedeni, Heterophyes herterophyes, Heterophyes nocens), Cestoda (Otobothriu mugilis), Acanthocephala (Neoechinorhynchus chilkaensis, Atactorhynchus mugilis), Copepoda (Lernanthropus shiskidai, Clavellopsis longimanus, Ergasulus lizae)"
"363","infested with ectoparasites from the families Caligidae and Lerneopodidae; also gnathiid larvae"
"364","parasitized by the families Caligidae, Lernaeopodidae, Dasyrhynchidae, Acanthocolpidae, Anisakidae, Ceratomyxidae, and Tetracapsulidae"
"365","occurs with S. politus"
"366","flesh found to contain high levels of DDT, PCBs in Los Angeles and southern California areas"
"367","share same resources as G. lineatus and Phanerodon furcatus"
"368","infected by ectoparasites from the families Bomolochidae, Caligidae, Chondracanthidae; also monogenetic trematodes"
"369","infected by ectoparasites from the families Caligidae; also gnathiid larvae"
"370","infected by parasites from the families Bothriocephalidae, Naobranchiidae, Microcotylidae, Anisakidae, Myxiddidae, and Myxobolidae"
"371","infected by parasites from the families Hemiuridae, Lepocreadiidae, Opecoelidae, Capsalidae, and Anisakidae"
"372","carry parasitic worms"
"373","infested by parasites from the families Opecoelidae and Hemiuridae"
