"LkupFoodTypeID","FdFoodType"
"433","red and green macroalgae"
"434","red and green macroalgae, such as Rhodoglossum, Porphyra, Microcaldia, Gigartina, and Ulva"
"435","red, green and brown seaweeds; bryozoans; sponges"
"436","red, green, brown algae"
"437","rockfishes, herring, squid, small sharks, small lingcod"
"438","rockweed gunnels have also been found in stomachs"
"439","sand dollars, gasteropods and bivalves"
"440","sand dwelling worms"
"441","sand dwelling worms, isopods, young sand crabs, worm mollusks, and barnacles"
"442","sand lances, herring, flounders, young lingcod, dogfish, gray cod, whiting, crabs, shrimp, squid"
"443","sandlance, herring, flounders, Pacific cod, whiting, small lingcod, crabs, shrimp, squid"
"444","sandlance, small lingcod, sole, blackcod, herring, euphausiids"
"445","scavange sea urchins form sheephead attacks"
"446","sea urchins, ophiuroids and other echinoderms; mussels and gastropods; crabs, such as decorator crabs, spiny lobster, and barnacles; squid; bryozoans; tubiculous polychaetes; fish eggs, such as blacksmith eggs"
"447","sessile anemones and polychaetes"
"448","sharks,rays, bony fish, chimaeras, squid, shrimp, crabs, carrion, and seals"
"449","sheet-like red [Polysiphonia spp. and others], green (Ulva), and brown algae"
"450","shrimp (Neomysis macrops), prawn (Pandalus danae)"
"451","shrimp and other invertebrates"
"452","shrimp, clams, worms, fishes, brittlestars, gammarid amphipods, and seastars"
"453","shrimp, crabs, fish, amphipods, Callianassids, bivalve mollusks, polychaetes, isopods, other"
"454","shrimp, crabs, polychaetes, squid, octopus, and other fishes"
"455","shrimp, herring, flatfish, sand lance, squid, and octopus"
"456","shrimp, mollusks, echinoderms"
"457","shrimplike crustaceans and small fish(anchovies)"
"458","shrimps, amphipods, salps, mysid shrimps, worms, and krill"
"459","shrimps, pelagic red crabs, hermit crabs euphausiids, small octupi, squid, anchovies, and blue laternfish"
"460","shrimps,fishes"
"461","single-celled algae, rotifers, mollusk larvae, and barnacle and copepod larvae"
"462","sm. whole clams and amphipods"
"463","small calanoids, crustacean eggs, copepodites, medium calanoids, larvacean, copepod nauplii"
"464","small calanoids, crustacean eggs, medium calanoids, juv euphausiids"
"465","small crabs and shrimp"
"466","small crustaceans"
"467","small crustaceans and fish"
"468","small crustaceans and zooplankton"
"469","small crustaceans, like crabs and gammerids; bryozoans; mussels and gastropods; sea urchins; polychaetes"
"470","small crustaceans, small fish, and mollusks"
"471","small crustaceans, such as copepods and amphipods; algae; polychaetes; mollusks"
"472","small crustaceans, such as copepods, caprellids, and amphipods; bryozoans; ophiuroids; polychaetes"
"473","small crustaceans, such as gammarids and isopods; polychaetes; fish eggs; bivalves and gastropods; sea urchins"
"474","small crustaceans, such as gammarids, barnacles; polychaetes; chaetognaths; gastropods and bivalves; fish eggs; algae?"
"475","small crustaceans,such as mysids, gammerids, and isopods; polychaetes; small fish, like anchovy"
"476","small crustaceans; ophiuroids; small fish"
"477","small crustaceans; such as mysids, shrimps, and amphipods, small fish; such as clingfish, kelp perch, and senorita"
"478","small crustaceans; Ulva and other green algae; red algae"
"479","small decapods"
"480","small eggs, copepod nauplii, copepodite, small-medium calanoids, larvacean"
"481","small fish and crustaceans"
"482","small fish and fish eggs; small crustaceans, such as gammerids; mollusks; tubiculous polychaetes"
"483","small fish, including surfpearches, juvenile greenlings, sculpins, and gobies; spiny dogfish; crustaceans; cephalopods; lingcod eggs"
"484","small fish, mysids,crustaceans"
"485","small fish, such as anchovy, sardine, queenfish, white croaker, white sea bass larvae and mackerel; squid"
"486","small fish; cephalopods"
"487","small fish; crustaceans, such as decapods and isopods; polychaetes"
"488","small fish; crustaceans; mollusks"
"489","small fish; squid; crustaceans, such as cladocerans and copepods; larval fish, including blacksmith; fish eggs, including blacksmith eggs; larvaceans"
"490","small fishes, such as surfperch; crustaceans; mollusks; ophiuroids; cephalopods"
"491","small invertebrates"
"492","small isopods, amphipods, shrimp, kelp scallops (Pecten latiauratus)"
"493","Small juveniles: harpacticoids and punkyfly larvae"
"494","Small juveniles:copepods, punkyfly larvae, freeliving larvae"
"495","small polychaetes, molluscs, and crustaceans"
"496","small shrimplike crustaceans"
"497","small/med/lg calanoids, small eggs, juv euphausiid, copepod nauplii, med eggs, copepodite"
"498","specked sanddab, herring, anchovies, crustaceans, worms, and mollusks"
"499","spiny lobster; squid; fishes, such as kelp bass, sheephead, mackerel, bonito, and small sharks"
"500","squid, and smaller fish, including their own species, other flatfishes, sardines, grunion, jacksmelt, queenfish, corbina, walleye surfperch, tubenose, and klipfish"
"501","squid; small schooling fishes, such as sardine, mackerel, and anchovy; pelagic crabs and other crustaceans"
"502","Stenosomella spp, Labidocera trispinosa (nauplii), Euterpina acutifrons ,Euterpina acutifrons(nauplii), cirriped nauplii, bivalve veligers, Coscinodiscus spp., Paracalanus parvus, and Oncea spp."
"503","Stenosomella spp., bivalve veligers, Euterpina acutifrons (nauplii), and unidentified nauplii"
"504","substrate oriented crustaceans, such as gammerids, isopods, and decapods; ophiuroids; mollusks, such as gastropods and bivalves; polychaetes; bryozoans; fish eggs"
"505","tintinnids; bivalve and gastropod veligers; small copepods, especially Euterpina acutifrons; rotifers; dinoflagellates; polychaeete larvae; invertebrate eggs"
"506","tintinnids; bivalves veligers; copepods"
"507","tiny crustaceans, polychaete worms, and fish"
"508","tiny planktonic crustaceans; such as mysids, small shrimp, and amphipods"
"509","trematodes, euphausiid eggs, cladocera, copepoods, fish larvae, and fish"
"510","veneroid pelecypods and clam siphons; small crustaceans, such as amphipods and mysids"
"511","veneroid pelecypods, such as bean clams; crustaceans, such as Emerita, ghost shrimp, and decapods; polychaetes; grunion eggs"
"512","When herbivorous, eat primarily red and green macroalgae"
"513","within same age group; smaller individuals are gammarid specialists, largest are caprellid specialists; intermediate sizes generalists. Caprellids taken mostly in Gelidium beds"
"514","worms and crustaceans"
"515","worms, amphipods, clams, brittle stars, small fish"
"516","worms, anemones"
"517","worms, clam siphons"
"518","worms, gammarid amphipods,worm-like peanut worms"
"519","worms, molluscs, small starfish, small crabs, and small fish"
"520","worms, shrimp, crabs, amphipods"
"521","worms, shrimps, clams, brittle stars, fish"
"522","worms, small crustaceans, and mollusks"
"523","worms, small crustaceans, and small fish"
"524","young herring, other small fishes"
"525","zooplankton"
"526","zooplankton and flora"
"527","zooplankton and phytoplankton"
"528","zooplankton, such as calanoids, harpacticoid, gammarids, isopods, juvenile mysids, and juvenile spionid polychaetes"
"529","zooplankton, such as calanoids, harpacticoid, gammarids, juvenile mysids, and juvenile spionid polychaetes"
"530","zooplankton, such as copepods; larval walleye pollock"
"531","zooplankton; small fish"
"532","ophiuroids"
"533","<33 mm (more carnivorous than herbivorous); pelagic juvenile mostly carnivorous; become more herbivorous as they grow"
"534","larval feeding success increases with size, attributed to learning"
