"LkupReferenceID","FdReferenceName","FdCitationDescription"
"366","DeMartini, E.E., D.A. Roberts, and T.W. Anderson. 1989.","Contrasting patterns of fish density and abundance at an artificial rock reef and a coble-bottom kelp forest. Bulletin of Marine Science 44(2):881-892."
"367","DeMartini, E.E., A.M. Barnett, T.D. Johnson, and R.F. Ambrose. 1994.","Growth and production estimates for biomass-dominant fishes on a southern California artificial reef. Bulletin of Marine Science 55(2-3):484-500."
"369","DeMott, G.E. 1983.","Movement of tagged lingcod and rockfishes off Depoe Bay, Oregon. M.S. Thesis, Oregon State University. 55 p."
"370","Dempster, R.P. and W.F. Rohrs. 1983.","Spawning record of the lingcod, Ophiodon elonagatus (Girard, 1854), in captivity. Journal of Aquariculture and Aquatic Sciences 3(3):41-45."
"371","DeVlaming, V.L. 1972.","Reproductive cycling in the estuarine gobiid fish, Gillichthys mirabilis. Copeia 1972(2):278-291."
"372","DeVlaming, V., R. FitzGerald, G. Delahunty, J.J. Cech, Jr., K. Selman, and M. Barkley. 1984.","Dynamics of oocyte development and related changes in serum estradiol-17b, yolk precursor, and lipid levels in the teleostean fish, Leptocottus armatus. Comparative Biochemistry and Physiology 77A(4):599-610."
"373","Dewees, C.M. and D.W. Gotshall. 1974.","An experimental artificial reef in Humboldt Bay, California. California Department of Fish and Game 60(3):109-127."
"375","Diaz, M.E.D. and M.G. Hammann. 1987.","Trophic relations among fishes associated to a kelp forest, Macrocystis pyrifera, in Bahia de Todos Santos, Baja California, Mexico. Ciencias Marinas 13(4):81-96."
"376","Dierks, A.J. 1990.","Parental care and diet of California gull (Larus californicus) chicks at Alviso, California. M.S. Thesis, San Jose State University. 63 p."
"377","Dinnel, P.A. J.A. Armstrong, and R.R. Lauth, K. Larsen, D.A. Armstrong, and S. Sulkin. 1990.","Fish predation on Dungeness crab in Padilla Bay, Washington. U.S. Department of Commerce, NOAA Technical Report Series OCRM/MEMD FRI-UW-9001, 69p."
"378","Dojiri, M. 1981.","Copepods of the families Lernaeopodidae and Naobranchiidae parasitic fishes from southern California inshore waters. Journal of Crustacean Biology 1(2):251-264."
"379","Domeier, M.L. and C.S.Y. Chun. 1995.","A tagging study of the California halibut (Paralichthys californicus). California Cooperative Oceanic Fisheries Investigations Reports 36:204-208."
"380","Donohoe, C.J. 1997.","Age, growth, distribution, and food habits of recently settled white seabass, Atractoscion nobilis, off San Diego County, California. Fishery Bulletin 95 (4):709-721."
"381","Dooley, J.K. 1978.","Systematics and biology of the tilefishes (Perciformes: Branchiostegidae and Malacanthidae), with descriptions of two new species. NOAA Technical Report, NMFS Circular 411, 78 p."
"382","Dorn, M. 2000.","Advice on west coast rockfish harvest rates from Bayesian meta-analysis of stock-recruit relationships. Abstract, 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 17."
"383","Doudoroff, P. 1945.","The resistance and acclimatization of marine fishes to temperature changes. II. Experiments with Fundulus and Atherinops. Biological Bulletin 88(2):197-206."
"384","Drawbridge, M.A., D.B. Kent, M.A. Shane, and R.F. Ford. 1995.","The assessment of marine stock enhancement in southern California: A case study involving the white seabass. American Fisheries Society Symposium 15:568-569."
"385","Dryfoos, R.L. 1965.","The life history of the longfin smelt in Lake Washington. Ph.D. Thesis, University of Washington. 229 p."
"386","Duffy, J.M. 1987.","A review of the San Diego Bay striped mullet, Mugil cephalus fishery. California Department of Fish and Game, Marine Resources Technical Report 56, 10 p."
"387","Dunlap, D.D. 1951.","A survey of the helminth parasites of Leptocottus armatus armatus Girard. M.S. Thesis, Oregon State College. 25 p."
"388","Dunn, J.R. and C.R. Hitz. 1969.","Oceanic occurence of black rockfish (Sebastodes melanops) in the central north Pacific. Journal of the Fisheries Research Board of Canada 26(11):3094-3097."
"389","Dutton, P. 1989.","The feeding ecology and growth of white seabass larvae Atractoscion nobilis. M.S. Thesis, San Diego State University. 146 p."
"390","Dutton, P. 1992.","Effects of experience on feeding success by larval white seabass, Atractoscion nobilis. Journal of Fish Biology 41:765-773."
"391","D'Vincent, S., H.G. Moser, and E.H. Ahlstrom. 1980.","Description of the larvae and early juveniles of the Pacific butterfish, Peprilus simillimus (Family Stromateidae). California Cooperative Oceanic Fisheries Investigations Reports 21:172-179."
"392","Dygert, P.H. and D.R. Gunderson. 1991.","Energy utilization by embryos during gestation in viviparous copper rockfish, Sebastes caurinus. Environmental Biology of Fishes 30:165-171."
"393","Dygert, P.H. 1990.","Seasonal changes in energy content and proximate composition associated with somatic growth and reproduction in a representative age-class of female English sole. Transactions of the American Fishery Society 119:791-801."
"394","Ebeling, A.W. and R.N. Bray. 1976.","Day versus night activity of reef fishes in a kelp forest off Santa Barbara, California. Fishery Bulletin 74(4):703-717."
"395","Ebeling, A.W. and D.R. Laur. 1985.","The influence of plant cover on surfperch abundanceat an offshore temperate reef. Environmental Biology of Fishes 12(3):169-179."
"397","Ebeling et al. 1980b","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"398","Ebeling, A.W., R.J. Larson, and W.S. Alevizon. 1980.","Habitat groups and island-mainland distribution of kelp fishes off Santa Barbara, California. In: D.M. Powers (Editor), The California Islands: Proceedings of a Multidisciplinary Symposium, p 403-431. Santa Barbara Museum of Natural History, Santa Barbara."
"399","Ebeling, A.W., R.J. Larson, W.S. Alevizon, and R.N. Bray. 1980.","Annual variability of reef-fish assemblages in kelp forests off Santa Barbara, California. Fishery Bulletin 78(2):361-377."
"401","Ebert, D.A. 1984.","Aspects of the life history of California's two cowshark species, Notorynchus cepedianus and Hexanchus griseus. M.A. Thesis, San Jose State University. 57 p."
"403","Ebert, D.A. 1986c.","Observations on the elasmobranch assemblage of San Francisco Bay. California Department of Fish and Game 72(4):244-249."
"404","Ebert, D.A. 1986a.","Aspects on the biology of hexanchid sharks along the California coast. In: T. Uyeno, R.Arai, T. Taniuchi, and K. Matsura (Editors), Proceedings Of The Second International Conference On Indo-Pacific Fishes, Indo-Pacific Fish Biology, Conducted At The Tokyo National Museum, Ueno Park, Tokyo, July 29-August 3, 1985, p. 437-449. Ichthyological Society of Japan, Tokyo."
"405","Ebert, D.A. 1986b.","Biological aspects of the sixgill shark, Hexanchus griseus. Copeia 1986(1):131-135."
"406","Ebert, D.A. 1989.","Life history of the sevengill shark, Notorynchus cepedianus Peron in two northern California bays. California Department of Fish and Game 75(2):102-112."
"407","Ebert, D.A. 1991a.","Diet of the sevengill shark Notorynchus cepedianus in the temperate coastal waters of southern Africa. South African Journal of Marine Science 11:565-572."
"408","Ebert, D.A. 1991b.","Observations on the predatory behavior of the sevengill shark Notorynchus cepedianus. South African Journal of Marine Science 11:455-465."
"409","Ebert, D.A. 1994.","Diet of the sixgill shark Hexanchus griseus off southern Africa. South African Journal of Marine Science 14:213-218."
"410","Ebert, D.A. 1996.","Biology of the sevengill shark Notorynchus cepedianus (Peron, 1807) in the temperate coastal waters of southern Africa. South African Journal of Marine Science 17:93-103."
"411","Ebert, D.A., L.J.V. Compagno, and P.D. Cowley. 1992.","A preliminary investigation of the feeding ecology of Squaloid sharks off the west coast of southern Africa. South African Journal of Marine Science 12:601-609."
"414","Echeverria, T. and W.H. Lenarz. 1984.","Conversions between total, fork, and standard lengths in 35 species of Sebastes from California. Fishery Bulletin 82(1):249-251."
"415","Eckmayer, W.J. 1979.","Age and growth of four surfperches (Embiotocidae) from the outer harbor of Anaheim Bay, California. California Department of Fish and Game 65(4):265-272."
"416","Edwards, D.G. and J.J. Cech Jr. 1990.","Aquatic and aerial metabolism of juvenile monkeyface prickleback, Cebidichthys violaceus, an intertidal fish of California. Comparative Biochemistry and Physiology 96A(1):61-65."
"417","Edwards, T.W. and M.H. Horn. 1982.","Assimilation efficiency of a temperate-zone intertidal fish (Cebidichthys violaceus) fed diets of macroalgae. Marine Biology 67:247-253."
"418","Edwards, T.W. 1981.","The assimilation efficiency of Cebidichthys violaceus (Family: Stichaeidae), a herbivorous fish from the rocky intertidal zone of central California. M.A. Thesis, California State University Fullerton. 77 p."
"419","Eggold, B.T. and P.J. Motta. 1991.","Ontogenetic dietary shifts and morphological correlates in striped mullet, Mugil cephalus. Environmental Biology of Fishes 34(2):1-20."
"420","Ehrlich, K.F. and D.A. Farris. 1971.","Some influences of temperature on the development of the grunion Leuresthes tenuis (Ayres). California Department of Fish and Game 57(1):56-68."
"421","Ehrlich, K.F. and G. Muszynski. 1981.","The relationship between temperature-specific yolk utilization and temperature selection of larval grunion. Rapports et proces-verbaux des reunions. Commission internationale pour l'Exloration scientifique de la Mer Medierranee 178:312-313."
"422","Ehrlich, K.F., G.E. McGowen, and G. Muszynski. 1978.","Temperature selection by young topsmelt: laboratory and field investigations. In: Energy and environmental stress in aquatic systems: selected papers from a symposium held in Augusta, Georgia, November 2-4, 1977, p 522-533. National Technical Information Service, U.S. Dept. of Commerce."
"423","Ehrlich, K.F., J.M. Hood, G. Muszynski, and G.E. McGowen. 1979.","Thermal behavioral responses of selected California littoral fishes. Fishery Bulletin 76(4):837-849."
"424","Eigenmann, C.H. 1891.","The spawning season of San Diego fishes. The American Naturalist:578-579."
"426","Eigenmann, C.H. 1892.","Cymatogaster aggregata Gibbons: A contribution to the ontogeny of viviparous fishes. Bulletin of the United States Fish Commision 12:401-478."
"427","Eldridge, M.B. 1975.","Early larvae of the diamond turbot, Hypsopsetta guttulata. California Department of Fish and Game 61(1):26-34."
"428","Eldridge, M.B. 1977.","Factors influencing distribution of fish eggs and larvae over eight 24-hr samplings in Richardson Bay, California. California Department of Fish and Game 63(2):101-116."
"429","Eldridge, M.B. (Editor). 1994.","Progress in rockfish recruitment studies. National Marine Fisheries Service, Southwest Fisheries Science Center, Administrative Report No. T-94-01, 55 p."
"430","Ellison, J.P., C. Terry, and J.S. Stephens, Jr. 1979.","Food resource utilization among five species of Embiotocids at King Harbor, California, with preliminary estimates of caloric intake. Marine Biology 52:161-169."
"431","Elorduy-Garay, J.F. and J. Caraveo-Patino. 1994.","Feeding habits of the ocean whitefish, Caulolatilus princeps Jenyns 1842 (Pisces: Branchiostegidae), in La Paz Bay, B.C.S., Mexico. Ciencias Marinas 20(2):199-218."
"432","Elorduy-Garay, J.F. and S. Ramirez-Luna. 1994.","Gonadal development and spawning of female ocean whitefish, Caulolatilus princeps (Pisces: Branchiostegidae) in the Bay of La Paz, B.C.S., Mexico. Journal of Fish Biology 44:553-566."
"436","Emmett, R.L., S.A. Hinton, S.L. Stone, and M.E. Monaco. 1991.","Distribution and abundance of fishes and invertebrates in west coast estuaries, Volume II: Species life history summaries. ELMR Report No 8. NOAA/NOS Strategic Environmental Assessments Division. Rockville, MD, 329 p."
"437","Engen, P.C. 1968.","Organogenesis in the walleye surfperch, Hyperprosopon argenteum (Gibbons). California Department of Fish and Game 54(3):156-169."
"438","Erickson, D.L., E.K. Pikitch, and J.W. Orr. 1991.","Northern range extension for the squarespot rockfish, Sebastes hopkinsi. California Department of Fish and Game 77(1):51-52."
"439","Eschmeyer, W.N. and E.S. Herald. 1983.","A field guide to Pacific coast fishes North America. Houghton Mifflin CO., Boston, MA. 336 p."
"440","Eschmeyer, W.N. (Editor). 1998.","Catalog of Fishes. Special Publication No. 1 of the Center for Biodiversity Research and Information, California Academy of Sciences, San Francisco. KNI Incorporated, Anaheim, California. 2905 p."
"443","Feder, H.M., C.H. Turner, and C. Limbaugh. 1974.","Observations on fishes associated with kelp beds in southern California. California Department of Fish and Game, Fish Bulletin 160,144 p."
"448","Fernandez, M., O. Iribarne, D. Armstrong. 1993.","Habitat selection by young-of-the-year Dungeness crab Cancer magister and predation risk in intertidal habitats. Marine Ecology Progress Series 92(1-2):171-177."
"450","Ferry, L.A., S.L. Clark, and G.M. Cailliet. 1997.","Food habits of spotted sand bass (Paralabrax maculatofasciatus, Serranidae) from Bahia de Los Angeles, Baja California. Bulletin of the Southern California Academy of Science 96(1):1-21."
"451","Fidopiastis, P.M. 1995.","Microbial activity in the gut of an herbivorous marine fish. M.A. Thesis, California State University Fullerton. 79 p."
"453","Fitch, J.E. and R.J. Lavenberg. 1971.","Marine Food and Game Fishes of California. University of California Press, Berkeley. 179 p."
"454","Fitch, J.E. and R.J. Lavenberg. 1975.","Tidepool and nearshore fishes of California. University of California Press, Berkeley. 156 p."
"459","Fitch, J.E. 1958.","Offshore fishes of California. California Department of Fish and Game. 80 p."
"460","Fitch, J.E. 1960.","Black sea bass. In: California ocean fisheries resources to the year 1960, p 48-49. California Department of Fish and Game. 79 p."
"461","Fitch, J.E. 1963.","A review of the fishes of the genus Pleuronichthys. Los Angeles County Museum, Contributions to Science 76:3-33."
"462","Fitch and Lavenberg 1973","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"466","Fleming, K. 1999a.","Elasmobranchs. In: J. Orsi (Editor), Report on the 1980-1995 fish, shrimp, and crab sampling in the San Francisco Estuary, California, p 133-150. California Department of Fish and Game, Technical Report No. 63."
"467","Fleming, K. 1999b.","White Croaker. In: J. Orsi (Editor), Report on the 1980-1995 fish, shrimp, and crab sampling in the San Francisco Estuary, California, p 279-290. California Department of Fish and Game, Technical Report No. 63."
"468","Follett, W.I. and D. Ainley. 1976.","Fishes collected by pigeon guillemots, Cepphus columba (Pallas), nesting on southeast Farallon Island, California. California Department of Fish and Game 62(1):28-31."
"469","Follett, W.I. 1976.","Fish remains from an archaeological site at Rancho Carrillo on the Silver Strand, San Diego County, California. Bulletin of the Southern California Academy of Sciences 75:131-137."
"470","Ford, E. 1921.","A contribution to our knowledge of the life histories of the dogfishes landed at Plymouth. Journal of Marine Biology Association U.K., N.S. 12(3):468-505."
"471","Ford, R.F. 1965.","Distribution, population dynamics and behavior of a Bothid flatfish, Citharichthys stigmaeus. Ph.D. Thesis, University of California San Diego. 243 p."
"472","Forrester, C.R. 1969a.","Life history information on some groundfish species. Fisheries Research Board of Canada Technical Report No. 105, 17 p."
"474","Forrester, C.R. 1969b.","Results of English sole tagging in British Columbia waters. Pacific Marine Fisheries Commission Bulletin 7:1-10."
"475","Forrester, C.R. 1973.","The lingcod (Ophiodon elongatus) in waters off western Canada. Fisheries Research Board of Canada Manuscript Report No. 1266. 27 p."
"476","Forrester, C.R. and J.A. Thomson. 1969a.","Length-weight relationships in some marine groundfish. Fisheries Research Board of Canada Technical Report No. 135. 16 p."
"477","Forrester, C.R. and J.A. Thomson. 1969b.","Population studies on the rock sole (Lepidosetta bilineata) of Northern Hecate Strait, British Columbia. Fisheries Research Board of Canada Technical Report 108,104 pp."
"478","Foster, M.S. 1972.","The algal turf community in the nest of the ocean goldfish, Hypsypops rubicunda, p 55-60. Proceedings of the International Seaweed Symposium 7, Japan."
"479","Fouts, W.R. and D.R. Nelson. 1999.","Prey capture by the Pacific angel shark, Squatina californica: visually mediated strikes and ambush-site characteristics. Copeia 1999(2):304-312."
"480","Franklin 1999","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"481","Fraser, C.M. 1915.","Ichthyological notes on: I. Ophiodon elongatus Girard. Transactions of the Royal Canadian Institute Volume XI, Part I, No. 25, p. 109-123."
"482","Fraser, C.M. 1919.","Copepods parasitic on fish from the Vancouver Island region. Transactions of the Royal Society of Canada Series 3, 13(5):45-67."
"483","Fraser, C.M. 1923.","Ichthyological notes. Contributions to Canadian Biology 1(14):285-295."
"484","Friese, E. 1966.","Wolf eel spawns. Salt Water Aquarium 2(3):51-55."
"485","Fris, M.B. and M.H. Horn. 1993.","Effects of diets of different protein content on food consumption, gut retention, protein conversion, and growth of Cebidichthys violaceus (Girard), an herbivorous fish of temperate zone marine waters. Journal of Experimental Marine Biology and Ecology 166:185-202."
"486","Fritzche, R.A. 1980.","Revision of the eastern Pacific Syngnathidae (Pisces:Syngnathiformes), including both recent and fossil forms. Proceedings of the California Academy of Sciences 42(6):181-227."
"487","Fritzsche, R.A., R.H. Chamberlain, and R.A. Fisher. 1985.","Species profile: life histories and environmental requirements of coastal fishes and invertebrates (Pacific southwest): California grunion. U.S. Fish and Wildlife Service, Biological Report 82(11.28) U.S. Army Corp of Engineers, TR EL-82-4, 12 p."
"488","Fritzsche, R.A., G. Harkleroad, P.D. Lam, S. Kennedy, T. Cady, D. Slama, and M. Farmer. 1992.","Surfperches. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's living marine resources and their utilization, p 171-175. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"489","Fritzsche, R.A. and T.J. Hassler. 1989.","Species profiles: Life histories and environmental requirements of coastal fishes and invertebrates (Pacific Southwest). Pile perch, striped seaperch, and rubberlip seaperch. U. S. Fish and Wildlife Service Biological Report No. 82(11.103), 22 p."
"490","Fritzsche, R., G. Aasen, L. Everest, P. Petros, and S. Shimek. 1991.","Northern range extension for the zebraperch (Hermosilla azurea, Jenkins and Evermann). California Department of Fish and Game 77(2):106-107."
"492","Fronk, R.H. 1969.","Biology of Atherinops affinis littoralis Hubbs in Newport Bay. M.S. Thesis, University of California, Irvine. 105 p."
"494","Fuhrman, F.A., G.J. Fuhrman, D.L. Dull, H.S. Mosher. 1969.","Toxins from eggs of fishes and amphibia. Journal of Agricultural and Food Chemistry. 17:417-424."
"495","Fuhrman, F.A., G.J. Fuhrman, J.S. Roseen. 1970.","Toxic effects produced by extracts of eggs of the cabezon, Scorpaenichthys marmoratus. Toxicon 8:55-61."
"496","Gadomski, D.M. and S.M. Caddell. 1996.","Effects of temperature on the development and survival of four coastal California fishes. Fishery Bulletin 94:41-48."
"497","Gadomski, D.M. and G.W. Boehlert. 1984.","Feeding ecology of pelagic larvae of English sole Parophrys vetulus and butter sole Isopsetta isolepis off the Oregon coast. Marine Ecology Progress Series 20:1-12."
"498","Gadomski, D.M. and S.M. Caddell. 1995","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"499","Gadomski, D.M. and J.H. Petersen. 1988.","Effects of food deprivation on the larvae of two flatfishes. Marine Ecology Progress Series 44:103-111."
"500","Gadomski, D.M., S.M. Caddell, L.R. Abbot, and T.C. Caro. 1990.","Growth and development of larval and juvenile California halibut Paralichthys californicus, reared in the laboratory. California Department of Fish and Game, Fish Bulletin 174:85-98."
"501","Gaida, I.H. 1997.","Population structure of the Pacific angel shark, Squatina californica (Squatiniformes:Squatinidae), around the California Channel Islands. Copeia 1997(4):738-744."
"502","Gaines, S.D. and J. Roughgarden. 1987.","Fish in offshore kelp forests affect recruitment to intertidal barnacle populations. Science 235:479-481."
"503","Galvan-Magana, F., H.J. Neinhuis, and A.P. Klimley. 1989.","Seasonal abundance and feeding habits of sharks of the lower Gulf of California, Mexico. California Department of Fish and Game 75(2):74-84."
"504","Galvan-Magana, F., A. Calapiz-Segura, V.H. Cruz-Escalona, L.A. Abitia-Cardenas, and F.J. Gutierrez-Sanchez. 2000.","Feeding habits of the spotted sand bass (Paralabrax maculatofasciatus) in [sic] west coast of Baja California Sur. Abstract, 80th Annual Meeting American Society of Ichthyologists and Herpetologists. June 14-20, 2000 La Paz, B.C.S., Mexico. p 162."
"505","Gardiner, D.M. 1978a.","Cyclic changes in fine structure of the epithelium lining in the ovary of the viviparous teleost, Cymatogaster aggregata (Perciformes: Embiotocidae). Journal of Morphology 156:367-380."
"506","Garrison, K.J. and B.S. Miller. 1982.","Review of the early life history of Puget Sound fishes. Fisheries Research Institute, School of Fisheries University of Washington, Contract No. 80-ABA-3680, Unpublished report FRI-UW-8216. 729 p."
"509","Gascon, D. and R.A. Miller. 1981.","Colonization by nearshore fish on small artificial reefs in Barkley Sound, British Columbia. Canadian Journal of Zoology 59:1635-1646."
"510","Gascon, D. and R.A. Miller. 1982.","Space utilization in a community of temperate reef fishes inhabiting small experimental artificial reefs. Canadian Journal of Zoology 60:798-806."
"511","Gates, D.E. and H.W. Frey. 1974.","Designated common names of certain marine organisms of California. California Department of Fish and Game, Fish Bulletin 161:55-90."
"513","Gharrett, A.J., A.K. Gray, S. Lyons, and J. Heifetz. 2000.","Preliminary investigations of population structures in four Gulf of Alaska rockfish and one thornyhead species using microsatellite variation. Abstract, 11th Western Groundfish Conference, April 24-28, 2000, Sitka, Alaska, p. 18."
"514","Gibson, R.N. 1982.","Recent studies on the biology of intertidal fishes. Oceanography and Marine Biology Annual Review 20:363-414."
"515","Giorgi, A.E. 1981.","The environmental biology of the embryos, egg masses and nesting sites of the lingcod, Ophiodon elongatus. National Marine Fisheries Service NWAFC Processed Report 81-06, 107 p."
"516","Giorgi, A.E. and J.L. Congleton. 1984.","Effects of current velocity on development and survival of lingcod, Ophiodon elongatus, embryos. Environmental Biology of Fishes 10:15-27."
"517","Girard, C. 1858.","Fishes. In: Explorations and surveys for a railroad route from the Mississippi River to the Pacific Ocean 10(4):1-400. U.S. War Department Washington, D.C."
"518","Gnose, C.E. 1967.","Ecology of the striped seaperch, Embiotoca lateralis, in Yaquina Bay, Oregon. M.S. Thesis, Oregon State University. 53 p."
"519","Goldberg, S.R. 1978.","Reproductive cycle of the white seaperch, Phanerodon furcatus (Embiotocidae). Copeia 2(1978):334-336."
"520","Goldberg, S.R. 1980.","Seasonal spawning cycle of the Pacific butterfish, Peprilus simillimus (Stromateidae). Fishery Bulletin 78(4):977-978."
"521","Goldberg, S.R. 1987.","Seasonal spawning cycle of the speckled sanddab, Citharichthys stigmaus (Bothidae). Bulletin of the Southern California Academy of Sciences 86(3):164-166."
"522","Goldberg and Pham 1987","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"523","Goldberg, J.L., R. Millar, and S. Sanchez. 1991.","The ontogenic acquisition of infestation of the trematode ectoparasite Neobenedenia girellae on the marine teleost Girella nigricans. Bulletin of the Southern California Academy of Sciences 90(2):83-85."
"524","Goodwin, C.L. and B. Pease. 1989.","Species Profiles: Life histories and environmental requirements of coastal fish and invertebrates (Pacific northwest): Pacific geoduck clam. U.S. Department of the Interior Fish and Wildlife Service, Biological Report 82(11.120)."
"526","Gorbunova, N.N. 1966.","Breeding and development of Hemilepidotine sculpins (Cottidae, Pisces). In: T.S. Rass (Editor), Fishes of the Pacific and Indian Oceans Biology Distribution, p 249-266. Translated from Russian by the Israel Program for Scientific Translations."
"527","Gorbunova, N.N. 1970.","Spawning and development of greenlings (Family Hexagrammidae). In: T.S. Rass (Editor), Greenlings: Taxonomy, Biology, Interoceanic Transplantation, p. 121-185. Academy of Sciences of the USSR, Transactions of the Institute of Oceanology, Volume 59. Translated from Russian by the Israel Program for Scientific Translations, Jerusalem."
"528","Gordon, C.D. 1965.","Aspects of the life-history of Cymatogaster aggregata Gibbons. M.S. Thesis, University of British Columbia. 90 p."
"529","Gordon, D.A. 1994.","Lingcod fishery and fishery monitoring in Southeast Alaska. Alaska Fishery Research Bulletin 1(2):140-152."
"530","Gosline, W.A. 1985.","Relationships among some relatively deep-bodied percoid fish groups. Japanese Journal of Ichthyology 31(4):351-357."
"531","Gossett, R.W., H.W. Puffer, R.H. Arthur Jr., and D.R. Young. 1983.","DDT, PCB, and benzo(a)pyrene levels in white croaker (Genyonemus lineatus) from southern California. Marine Pollution Bulletin 14(2):60-65."
"532","Gossett, R.W., G. Wikholm, J. Ljubenkov, and D. Steinman. 1989.","Human serum DDT levels related to consumption of fish from the coastal waters of Los Angeles. Environmental Toxicology and Chemistry 8:951-955."
"533","Gotshall, D.W. and J.G. Smith. 1965.","Food of the blue rockfish, Sebastodes mystinus. California Department of Fish and Game 51(3):147-162."
"534","Gotshall, D.W. 1966.","Cleaning symbiosis in Monterey Bay, California. California Department of Fish and Game 52(2):125-126."
"535","Gotshall, D.W. 1969.","A tagging study if the blue rockfish, Sebastodes mystinus. M.S. Thesis, Humboldt State University. 67 p."
"536","Gowan, R.E. 1983.","Population dynamics and exploitation rates of rockfish (Sebastes spp.) in central Puget Sound, Washington. Ph.D. Thesis, University of Washington. 90 p."
"539","Grant, C.J. and A.V. Spain. 1975.","Reproduction, growth and size allometry of Mugil cephalus Linnaeus (Pisces: Mugilidae) from north Queensland inshore waters. Australian Journal of Zoology 23:181-201."
"540","Green, D. and W. McFarland. 1994.","Impact of foraging blacksmiths on constituents in the water column: Implications on school behavior and structure. In: W.L. Halvorson and G.J. Maender (Editors), The Fourth California Islands Symposium: update on the Status of Resources, p 97-102. Santa Barbara Museum of Natural History, Santa Barbara."
"541","Gregory, P.A. 1992.","Silversides. In: W.S. Leet, C.M. Dewees, and C.W. Haugen (Editors), California's Living Marine Resources and Their Utilization, p 78-81. California Sea Grant Extension Program, Department of Wildlife and Fisheries Biology, University of California, Davis, California Sea Grant Extension Publication UCSGEP-92-12."
"542","Gregory, P.A. and T. Jow. 1976.","The validity of otoliths as indicators of age of petrale sole from California. California Department of Fish and Game 62(2):132-140."
"544","Grosse, D.J. 1982.","An experiment in the artificial rearing of lingcod (Ophiodon elongatus Girard) for purposes of enhancement. Washington Department of Fisheries, Technical Report No. 70, 92 p."
"545","Grossman, G.D. 1982.","Dynamics and organization of a rocky intertidal fish assemblage: The persistence and resilience of taxocene structure. The American Naturalist 119(5):611-637."
"546","Guillemot, P.J. 1985.","Seasonal cycles of fat and gonad volume in five species of northern California rockfish (Scorpaenidae: Sebastes). Fishery Bulletin 83(3):299-311."
"547","Gunderson, D.R., P. Callahan, and B. Goiney. 1980.","Maturation and fecundity of four species of Sebastes. Marine Fisheries Review 42(3-4):74-79."
"548","Gunderson, D.R., D.A. Armstrong, Y. Shi, and R.A. McConnaughey. 1990.","Patterns of estuarine use by juvenile English sole (Parophrys vetulus) and Dungeness Crab (Cancer magister) Estuaries 13(1):59-71."
"550","Haaker, P.L. 1975.","The biology of the California halibut, Paralichthys californicus (Ayres) in Anaheim Bay. California Department of Fish and Game, Fish Bulletin 165:137-151."
"551","Haaker 1978","Author was cited in Cailliet et al. 2000 but the full citation was missing."
"552","Haaker, P.L., D.O. Parker, and K.C. Henderson. 1984.","Observations of Harbor seal, Phoca vitulina richardsi feeding in southern California waters. Bulletin of the Southern California Academy of Sciences 83(3):152-153."
"553","Haesker, S.L. and J. J.J. Czech. 1993.","Food habits of the brown smoothhound shark (Mustelus henei) from two sites in Tomales Bay. California Department of Fish and Game 79(3):89-95."
"554","Haldorson, L. and M. Love. 1991.","Maturity and fecundity in the rockfishes, Sebastes spp., a review. Marine Fisheries Review 53(2):25-31."
"555","Haldorson, L. and M. Moser. 1979.","Geographic patterns of prey utilization in two species of surfperch (Embiotocidae). Copeia 1979(4):567-572."
"556","Haldorson, L. and L.J. Richards. 1986.","Post-larval copper rockfish in the Strait of Georgia: habitat use, feeding, and growth in the first year. In: Proceedings of the International Rockfish Symposium, Lowell Wakefield Fisheries Symposium, Anchorage, Alaska, USA, October 20-22, 1986. Alaska Sea Grant Report, No. 87-2, p. 129-141."
"558","Haldorson, L.J. 1973.","Genetic variation and population isolation in the pile perch, Racochilus vacca. M.A. Thesis, University of California, Santa Barbara. 55 p."
"559","Haldorson, L. 1980.","Genetic isolation of Channel Island fish populations: Evidence from two embiotocid species. In: D.M. Powers (Editor), The California Islands: Proceedings of a Multidisciplinary Symposium, p 433-442. Santa Barbara Museum of Natural History, Santa Barbara."
"561","Hallacher, L.E. and C.D. Roberts. 1985.","Differential utilization of space and food by the inshore rockfishes (Scorpaenidae: Sebastes) of Carmel Bay, California. Environmental Biology of Fishes 12(2):91-110."
"562","Hallacher, L.E. 1977.","Patterns of space and food use by inshore rockfishes (Scorpaenidae: Sebastes) of Carmel bay, California. Ph.D. Thesis, University of California Berkeley. 114 p."
"563","Hallacher, L.E. 1984.","Relocation of original territories by displaced black-and-yellow rockfish, Sebastes chrysomelas, from Carmel Bay, California. California Department of Fish and Game 70(3):158-162."
"564","Halstead, B.W. and N.C. Bunker. 1952.","The venom apparatus of the ratfish, Hydrolagus colliei. Copeia 1952(3):128-138."
