"LkupHabitatID","FdHabitat"
"573","sleeps in rock crevices and holes at night"
"574","sloughs"
"575","sloughs and estuaries serve as a nursery ground"
"576","soft bottom"
"577","soft bottoms of continental slope/basin"
"578","soft or rocky bottom"
"579","soft sand or mud, located offshore"
"580","soft substrate"
"581","soft to mixed bottoms; bank edges; cobble-mud"
"582","some found in freshwater, indicating a freshwater spawning"
"583","some, but not all planktonic"
"584","sometimes aggregate near rocks and sand dollar beds"
"585","spawned in empty shells"
"586","spawned in fresh or slightly brackish water"
"587","spawned in nearshore coast waters"
"588","spawned in the surf zone of beaches, esp. during periods of high tides"
"589","spawned offshore over deep water"
"590","spawning individuals found subtidally"
"591","spawning occurs at sea, ranging from close to shore to 20 miles at sea"
"592","spawning substrate thought to be sandy-gravel areas with sand or aquatic plants"
"593","spawning takes place in schools"
"594","spawning takes place within 2 km of shore"
"595","spawns in shoals"
"596","spends most of life in salt water, moving up rivers to spawn in large numbers in spring"
"597","spring/summer-shallow bays and estuaries; mud/sand flats; kelp beds; winter- neritic"
"598","spring-summer seasonal of rocky intertidal"
"600","eggs brooded within specialized structure on adult male"
"602","surf and eelgrass beds; bays"
"603","surf zone"
"604","surface waters in harbors, along sandy beaches, and in the kelp canopy"
"605","surface waters of bays and estuaries"
"606","surface waters offshore, move inshore as they increase in size"
"607","surface waters Strait of Georgia, B.C."
"608","surface waters, Saanich Inlet, Vancouver Isl."
"609","surface waters, Strait of Georgia"
"610","surface waters, Strait of Georgia, B.C."
"611","surfgrass (Phyllospadix) beds"
"612","surfgrass beds"
"613","SW Vancouver Island"
"614","tidal creeks and inland slough regions"
"615","tidal embayment & seasonal estuary (Elkhorn Slough, central CA)"
"616","tidal flats, bays, costal sloughs; prefers mud bottom in shallow water"
"617","tideflat (Coos Bay, OR)"
"618","tidepools"
"619","tolerant of a wide range of salinities, limited in distribution by temperature "
"620","tolerates euryhaline conditions"
"621","tough, pink conspicuous masses, often above low-tide mark"
"622","two color morphs of eggs; purple yolk with orange oil globules and yellow yolk and yellow oil globules"
"623","two resident freshwater populations: Harrison Lake, British Columbia and Lake Washington, Washington"
"624","usually found near surface"
"625","usually offshore"
"626","usually offshore rocky reefs and around islands"
"627","various (eelgrass beds, bays, estuaries)"
"628","various bottom (broken rock/boulder or bedrock wall)"
"629","various bottom (fine sediment, cobble, rock/boulder, bedrock slope, walls, ledges)"
"630","vertically dispersed at night"
"631","viable limit for hatching  16.0-26.5 C"
"632","viable limit for hatching 14.0-28.5 C"
"634","within 2 km from shore"
"635","within 4 to 5 km of shore"
"636","within and around the kelp canopy; high relief rocky and artificial reefs"
"637","within kelp forest cover"
"638","without kelp"
"639","young gradually migrate to deeper waters"
"640","young juveniles: gravel bottoms; older juveniles (32 to 42 mm TL): pebble bottoms"
"641","muddy bottom"
"642","deep water"
"643","warm inshore waters"
"644","tide pools; shallow rocky intertidal; surfgrass beds"
"645","inshore and in tide pools"
"646","kelp"
