"comm_name","sci_name"
"DOLLARS, SIX-HOLED KEYHOLE SAND **","LEODIA"
"DORIS, FLORIDA REGAL ","HYPSELODORIS EDENTICULATA"
"DRAGONETS **","CALLIONYMIDAE"
"DRUM, SPOTTED ","EQUETUS PUNCTATUS"
"DURGON, BLACK ","MELICHTHYS NIGER"
"EEL, CONGER ","CONGER OCEANICUS"
"EEL, GOLDSPOTTED ","MYRICHTHYS OCELLATUS"
"EEL, MORAY, BLACKEDGE ","GYMNOTHORAX NIGROMARGINATUS"
"EEL, MORAY, GOLDENTAIL ","MURAENA MILARIS"
"EEL, MORAY, GREEN ","GYMNOTHORAX FUNEBRIS"
"EEL, MORAY, SPOTTED ","GYMNOTHORAX MORINGA"
"EEL, SHARPTAIL ","MYRICHTHYS"
"EEL, SPECKLED WORM ","MYROPHIS PUNCTATUS"
"EELS **","ANGUILLIFORMES"
"EELS, CONGER **","CONGRIDAE"
"EELS, CUSK **","OPHIDIIDAE"
"EELS, MORAY **","MURAENIDAE"
"FILEFISH, ORANGESPOTTED ","CANTHERHINES PULLUS"
"FILEFISH, PYGMY ","STEPHANOLEPIS SETIFER"
"FILEFISH, SCRAWLED ","ALUTERUS SCRIPTUS"
"FILEFISH, WHITESPOTTED ","CANTHERHINES MACROCERUS"
"FILEFISHES **","MONACANTHUS "
"FLAG, SPANISH ","GONIOPLECTRUS HISPANUS"
"FLAMEFISH ","APOGON MACULATUS"
"FLOUNDER, GULF ","PARALICHTHYS ALBIGUTTA"
"FLOUNDER, SOUTHERN ","PARALICHTHYS LETHOSTIGMA"
"FLOUNDER, SUMMER ","PARALICHTHYS DENTATUS"
"FLOUNDERS, LEFTEYED **","BOTHIDAE"
"FLOUNDERS, PARALICHTHYS **","PARALICHTHYS"
"FLYINGFISHES **","EXOCOETIDAE"
"FORAMS **","FORAMINIFERIDA "
"FROGFISH, OCELLATED ","ANTENNARIUS OCELLATUS"
"FROGFISHES, ANTENNARIIDAE (FAMILY) **","ANTENNARIIDAE"
"GAMBUSIA, MANGROVE ","GAMBUSIA RHIZOPHORAE"
"GOATFISH, SPOTTED ","PSEUDUPENEUS"
"GOATFISH, YELLOW ","MULLOIDICHTHYS MARTINICUS"
"GOATFISHES **","MULLIDAE"
"GOBIES **","GOBIIDAE"
"GOBY, NAKED ","GOBIOSOMA BOSC"
"GOBY, NEON ","ELACATINUS OCEANOPS"
"GOBY, TIGER ","ELACATINUS MACRODON"
"GOBY, YELLOWLINE ","ELACATINUS HORSTI"
"GOOSEFISH ","LOPHIUS AMERICANUS"
"GORGONIAN, SEA BLADES ","PTEROGORGIA GUADALUPENSIS"
"GRAYSBY","CEPHALOPHOLIS CRUENTATA"
"GRAYSBY ","CEPHALOPHOLIS CRUENTATA"
"GROUPER, CONEY","CEPHALOPHOLIS FULVA"
"GROUPER, CONEY ","CEPHALOPHOLIS FULVA"
"GROUPER, MARBLED ","DERMATOLEPIS INERMIS"
"GROUPER, NASSAU ","EPINEPHELUS STRIATUS"
"GROUPER, TIGER ","MYCTEROPERCA TIGRIS"
"GRUNT, FRENCH ","HAEMULON FLAVOLINEATUM"
"GUITARFISH, BANDED ","ZAPTERYX"
"HAMLET, BUTTER ","HYPOPLECTRUS UNICOLOR"
"HAMLET, MUTTON ","ALPHESTES"
"HARES, SEA **","APLYSIIDAE"
"HARVESTFISH, NORTHERN","PEPRILUS PARU"
"HARVESTFISH, NORTHERN ","PEPRILUS PARU"
"HAWKFISH, REDSPOTTED ","AMBLYCIRRHITUS PINOS"
"HERRING, ROUND ","ETRUMEUS TERES"
"HERRINGS **","CLUPEIDAE"
"HIGH-HAT ","PAREQUES ACUMINATUS"
"HOGFISH ","LACHNOLAIMUS MAXIMUS"
"HOGFISH, SPANISH ","BODIANUS RUFUS"
"HOGFISH, SPOTFIN ","BODIANUS PULCHELLUS"
"JACK, BAR ","CARANGOIDES RUBER"
"JACK, HORSE-EYE ","CARANX LATUS"
"JACK, YELLOW ","CARANGOIDES BARTHOLOMAEI"
"JACKKNIFE-FISH ","EQUETUS LANCEOLATUS"
"JACKS **","CARANGIDAE"
"JAWFISH, DUSKY ","OPISTOGNATHUS WHITEHURSTI"
"JAWFISH, YELLOWHEAD ","OPISTOGNATHUS AURIFRONS"
"JAWFISHES **","OPISTOGNATHIDAE"
"JAWFISHES, SPOTFIN **","OPISTOGNATHUS "
"JELLYFISHES, SCYPHOZOA (CLASS) **","SCYPHOZOA"
"LIONFISH, RED ","PTEROIS VOLITANS"
"LIZARDFISH, INSHORE ","SYNODUS FOETENS"
"LIZARDFISHES, SYNODONTIDAE (FAMILY) **","SYNODONTIDAE"
"LOBSTER, SPANISH **","SCYLLARIDES"
"LOBSTER, SPOTTED SPINY ","PANULIRUS GUTTATUS"
"MACKEREL, ATLANTIC CHUB ","SCOMBER COLIAS"
"MACKEREL, CHUB ","SCOMBER JAPONICUS"
"MAJOR, SERGEANT ","ABUDEFDUF SAXATILIS"
"MARGATE ","HAEMULON ALBUM"
"MARGATE, BLACK ","ANISOTREMUS SURINAMENSIS"
"MARLIN, BLUE ","MAKAIRA NIGRICANS"
"MAT, GREEN SEA ","ZOANTHUS SOCIATUS"
"MENHADEN, ATLANTIC ","BREVOORTIA TYRANNUS"
"MOJARRAS **","GERREIDAE"
"MUSSELS, PERNA **","PERNA PHILIPSSON"
"NEEDLEFISH, ATLANTIC ","STRONGYLURA MARINA"
"NEEDLEFISHES **","BELONIDAE"
"NUDIBRANCHS **","NUDIBRANCHIA"
"OCTOPUS, ATLANTIC PYGMY ","OCTOPUS JOUBINI"
"OCTOPUS, ATLANTIC WHITE-SPOTTED ","OCTOPUS MACROPUS"
"OCTOPUS, CARIBBEAN REEF ","OCTOPUS BRIAREUS"
"OCTOPUS, COMMON ","OCTOPUS VULGARIS"
"OPAH ","LAMPRIS GUTTATUS"
"OPHIDIIFORMES **","OPHIDIIFORMES"
"OYSTER, ATLANTIC THORNY ","SPONDYLUS AMERICANUS"
"PARROTFISH, BLUE ","SCARUS COERULEUS"
"PARROTFISH, MIDNIGHT ","SCARUS COELESTINUS"
"PARROTFISH, PRINCESS ","SCARUS TAENIOPTERUS"
"PARROTFISH, QUEEN ","SCARUS VETULA"
"PARROTFISH, RAINBOW ","SCARUS GUACAMAIA"
"PARROTFISH, REDBAND ","SPARISOMA AUROFRENATUM"
"PARROTFISH, STOPLIGHT ","SPARISOMA VIRIDE"
"PARROTFISH, STRIPED ","SCARUS ISERI"
"PARROTFISHES **","SCARIDAE"
"PENS/PANSIES, SEA **","PENNATULACEA"
"PERCH, DWARF SAND ","DIPLECTRUM BIVITTATUM"
"PERIWINKLES, ATLANTIC **","LITTORINIDAE"
"PILOTFISH ","NAUCRATES DUCTOR"
"PINFISH, SPOTTAIL ","DIPLODUS HOLBROOKII"
"PIPEFISH, SARGASSUM ","SYNGNATHUS PELAGICUS"
"PIPEFISHES, SYNGNATHINAE (SUBFAMILY) **","SYNGNATHINAE "
"PLANEHEAD FILEFISH","STEPHANOLEPIS HISPIDUS"
"PLANTAE **","PLANTAE"
"POLYCHAETE, FANWORMS **","SERPULIDAE"
"POLYCHAETE, FEATHER-DUSTERS **","SABELLIDAE"
"POLYCHAETE, FIREWORMS **","AMPHINOMIDAE"
"POLYCHAETE, HORNED CHRISTMAS-T ","SPIROBRANCHUS GIGANTEUS"
"POLYCHAETES, MARINE WORMS **","POLYCHAETA"
"POMFRET, BIGSCALE ","TARACTICHTHYS LONGIPINNIS"
"POMFRETS **","BRAMIDAE"
"POMPANO, IRISH ","DIAPTERUS AURATUS"
"PORCUPINEFISH ","DIODON HYSTRIX"
"PORGY, GRASS ","CALAMUS ARCTIFRONS"
"PORGY, JOLTHEAD ","CALAMUS BAJONADO"
"PORGY, KNOBBED ","CALAMUS NODOSUS"
"PORGY, LITTLEHEAD ","CALAMUS PRORIDENS"
"PORGY, LONGSPINE ","STENOTOMUS CAPRINUS"
"PORKFISH ","ANISOTREMUS VIRGINICUS"
"PUDDINGWIFE ","HALICHOERES RADIATUS"
"PUFFER, SHARPNOSE ","CANTHIGASTER ROSTRATA"
"PUFFER, SOUTHERN ","SPHOEROIDES NEPHELUS"
"PUFFERS, SPHOEROIDES (GENUS) **","SPHOEROIDES SPP."
"PUFFERS, TETRAODONTIDAE (FAMILY) **","TETRAODONTIDAE"
"RAY, LESSER ELECTRIC ","NARCINE BRASILIENSIS"
"RAYS **","RAJIFORMES"
"RAYS, BUTTERFLY **","GYMNURA"
"RAYS, EAGLE **","MYLIOBATIDAE"
"RAZORFISHES **","XYRICHTYS"
"REEFFISH, PURPLE ","CHROMIS SCOTTI"
"REEFFISH, YELLOWTAIL ","CHROMIS ENCHRYSURA"
"REMORAS, OTHER **","ECHENEIDAE"
"ROSEFISH, BLACKBELLY ","HELICOLENUS DACTYLOPTERUS"
"SANDFISH, BELTED ","SERRANUS SUBLIGARIUS"
"SARDINE, SCALED ","HARENGULA JAGUANA"
"SARDINE, SPANISH ","SARDINELLA AURITA"
"SARGASSUMFISH ","HISTRIO HISTRIO"
"SAWFISH, SMALLTOOTH ","PRISTIS PECTINATA"
"SCAD, ROUND ","DECAPTERUS PUNCTATUS"
"SCALLOP, ATLANTIC CALICO ","ARGOPECTEN GIBBUS"
"SCALLOP, BAY ","ARGOPECTEN IRRADIANS"
"SCALLOP, LIONS-PAW ","NODIPECTEN NODOSUS"
"SCALLOPS **","PECTINIDAE"
"SCHOOLMASTER ","LUTJANUS APODUS"
"SCORPIONFISH, REEF ","SCORPAENODES CARIBBAEUS"
"SEAHORSE, DWARF ","HIPPOCAMPUS ZOSTERAE"
"SEAHORSE, LINED ","HIPPOCAMPUS ERECTUS"
"SEAHORSES **","HIPPOCAMPUS SPP."
"SEAROBINS **","TRIGLIDAE"
"SEATROUT, SILVER ","CYNOSCION NOTHUS"
"SEAWEED, BRYOPSIDALES **","BRYOPSIDALES"
"SEAWEED, CAULERPA **","CAULERPACEAE"
"SEAWEED, HALIMEDA **","HALIMEDA"
"SEAWEED, MERMAIDS SHAVING BRUSH **","PENICILLUS"
"SHAD, AMERICAN ","ALOSA SAPIDISSIMA"
"SHAD, HICKORY ","ALOSA MEDIOCRIS"
"SHARK, DUSKY ","CARCHARHINUS OBSCURUS"
"SHARK, MAKO, LONGFIN ","ISURUS PAUCUS"
"SHARK, NIGHT","CARCHARHINUS SIGNATUS"
"SHARK, NURSE","GINGLYMOSTOMA CIRRATUM"
"SHARK, NURSE ","GINGLYMOSTOMA CIRRATUM"
"SHARK, SAND TIGER ","CARCHARIAS TAURUS"
"SHARK, SANDBAR","CARCHARHINUS PLUMBEUS"
"SHARK, THRESHER ","ALOPIAS VULPINUS"
"SHARKS, HAMMERHEAD **","SPHYRNIDAE"
"SHARKS, PELAGIC **","LAMNIFORMES"
"SHARKS, SMALL COASTAL **","UNIDENTIFIED SURFACE FISH"
"SHARKSUCKER ","ECHENEIS NAUCRATES"
"SHEEPSWOOL SPONGE","HIPPOSPONGIA LACHNE"
"SHRIMP, BANDED CORAL ","STENOPUS HISPIDUS"
"SHRIMP, CLEANER ","LYSMATA GRABHAMI"
"SHRIMP, GOLDEN CORAL ","STENOPUS"
"SHRIMP, PEDERSON CLEANER ","PERICLIMENES"
"SHRIMP, PEPPERMINT ","LYSMATA WURDEMANNI"
"SHRIMP, ROCK ","SICYONIA BREVIROSTRIS"
"SHRIMP, SPOTTED CLEANER ","PERICLIMENES YUCATANICUS"
"SHRIMPS, BAIT **","PENAEUS"
"SHRIMPS, MANTIS **","STOMATOPODA"
"SHRIMPS, PISTOL OR SNAPPING **","ALPHEUS"
"SLEEPERS **","ELEOTRIDAE"
"SLUG, LETTUCE ","ELYSIA CRISPATA"
"SNAIL, ANGULAR TRITON ","CYMATIUM FEMORALE"
"SNAIL, BRUISED NASSA ","NASSARIUS VIBEX"
"SNAIL, CHESTNUT TURBAN ","TURBO CASTANEA"
"SNAIL, FLAMINGO TONGUE ","CYPHOMA GIBBOSUM"
"SNAIL, FLORIDA MITER ","MITRA FLORIDA"
"SNAIL, SHARK EYE ","NEVERITA DUPLICATA"
"SNAIL, TRUE TULIP ","FASCIOLARIA TULIPA"
"SNAILS **","GASTROPODA"
"SNAILS, CERITHIDEAN **","CERITHIDEA"
"SNAILS, CONE **","CONUS"
"SNAILS, FIG **","FICUS"
"SNAILS, HELMET **","CASSIS"
"SNAILS, MARGINELLA **","MARGINELLIDAE"
"SNAILS, MELAMPUS **","MELAMPUS"
"SNAILS, MOON **","NATICIDAE"
"SNAILS, MUREX **","MURICIDAE"
"SNAILS, NASSA **","NASSARIUS"
"SNAILS, NERITES **","NERITIDAE"
"SNAILS, OLIVE **","OLIVIDAE"
"SNAILS, PURPLE SEA **","JANTHINIDAE"
"SNAILS, TEGULA **","TEGULA"
"SNAILS, TOPSNAIL **","TROCHIDAE"
"SNAILS, TRITON **","RANELLIDAE"
"SNAILS, TURBAN **","TURBINIDAE"
"SNAILS, TURBONELLA **","TURBINELLIDAE"
"SNAILS, WENTLETRAP **","EPITONIIDAE"
"SNAPPER, BLACKFIN ","LUTJANUS BUCCANELLA"
"SNAPPER, CARIBBEAN RED ","LUTJANUS PURPUREUS"
"SNAPPER, DOG ","LUTJANUS JOCU"
"SNAPPER, GLASSEYE ","HETEROPRIACANTHUS CRUENTATUS"
"SNAPPER, MAHOGANY ","LUTJANUS MAHOGONI"
"SNOOK, COMMON ","CENTROPOMUS UNDECIMALIS"
"SOLDIERFISH, BLACKBAR ","MYRIPRISTIS JACOBUS"
"SOLES, NAKED AND FRINGED **","GYMNACHIRUS "
"SPADEFISH, ATLANTIC ","CHAETODIPTERUS FABER"
"SPONGE, GLOVE ","SPONGIA CHEIRIS"
"SPONGE, GRASS ","SPONGIA GRAMINEA"
"SPONGE, RED BALL ","HALICLONA COMPRESSA"
"SPONGE, WIRE ","SPONGIA STEREA"
"SPONGE, YELLOW ","SPONGIA BARBARA"
"SPONGES **","PORIFERA"
"SPONGES, DEMOSPONGIAE **","DEMOSPONGIAE"
"SPONGES, SHEEPSWOOL **","HIPPOSPONGIA"
"SQUIDS **","TEUTHIDA"
"SQUIRRELFISH, DEEPWATER ","SARGOCENTRON BULLISI"
"SQUIRRELFISH, REEF ","SARGOCENTRON CORUSCUM"
"STAR, BASKET ","ASTROPHYTON MURICATUM"
"STAR, BLACK BRITTLE ","OPHIOCOMA ECHINATA"
"STAR, SCALY BRITTLE ","OPHIODERMA SQUAMOSISSIMUM"
"STAR, SERPENT BRITTLE ","OPHIODERMA BREVISPINUM"
"STAR, SPINY SEA ","ECHINASTER SENTUS"
"STARGAZER, SOUTHERN ","ASTROSCOPUS Y-GRAECUM"
"STARGAZERS **","URANOSCOPIDAE"
"STARS, BRITTLE **","OPHIUROIDEA"
"STARS, FEATHER **","CRINOIDEA"
"STARS, OTHER SEA **","ASTEROIDEA"
"STINGRAY, SOUTHERN ","DASYATIS AMERICANA"
"STINGRAY, YELLOW ","UROBATIS JAMAICENSIS"
"SUNSHINEFISH ","CHROMIS INSOLATA"
"SURGEON, OCEAN ","ACANTHURUS BAHIANUS"
"SURGEONFISHES **","ACANTHURIDAE"
"SWEEPER, GLASSY ","PEMPHERIS"
"TANG, BLUE ","ACANTHURUS COERULEUS"
"TILAPIAS **","TILAPIA"
"TILEFISH, SAND ","MALACANTHUS PLUMIERI"
"TOADFISHES, BATRACHOIDIDAE (FAMILY) **","BATRACHOIDIDAE"
"TOBACCOFISH ","SERRANUS TABACARIUS"
"TOMTATE ","HAEMULON AUROLINEATUM"
"TRIGGERFISH, OCEAN ","CANTHIDERMIS SUFFLAMEN"
"TRIGGERFISH, QUEEN ","BALISTES VETULA"
"TRUMPETFISH ","AULOSTOMUS MACULATUS"
"TRUNKFISH, SPOTTED ","LACTOPHRYS BICAUDALIS"
"TRUNKFISHES, THREE-ANGLED **","LACTOPHRYS SPP."
"TUNA, ALBACORE","THUNNUS ALALUNGA"
"TUNA, BIGEYE ","THUNNUS OBESUS"
"TUNA, BLUEFIN","THUNNUS THYNNUS"
"TUNA, BLUEFIN ","THUNNUS THYNNUS"
"TUNA, SKIPJACK","KATSUWONUS PELAMIS"
"TUNA, SKIPJACK ","KATSUWONUS PELAMIS"
"TUNICATES, SEA SQUIRTS **","ASCIDIACEA"
"TURTLE, GREEN SEA ","CHELONIA MYDAS"
"TURTLE, LOGGERHEAD ","CARETTA CARETTA"
"ULOTRICHALES **","ULOTRICHALES"
"URCHIN, GREEN SEA, (L. VARIEGATUS) ","LYTECHINUS VARIEGATUS"
"URCHIN, PURPLE-SPINED SEA ","ARBACIA"
"URCHIN, ROCK BORING ","ECHINOMETRA LUCUNTER"
"URCHIN, SLATE PENCIL ","EUCIDARIS TRIBULOIDES"
"URCHINS, SEA, ECHINOIDEA (CLASS) **","ECHINOIDEA"
"WHELK, KNOBBED ","BUSYCON CARICA"
"WHELK, LIGHTNING ","BUSYCON SINISTRUM"
"WITHHELD FOR CONFIDENTIALITY ","OTHER"
"WRASSE, BLACKEAR ","HALICHOERES POEYI"
"WRASSE, CLOWN ","HALICHOERES MACULIPINNA"
"WRASSE, CREOLE ","CLEPTICUS PARRAE"
"WRASSE, OTHER **","LABRIDAE"
"WRASSE, YELLOWHEAD ","HALICHOERES GARNOTI"
"WRECKFISH ","POLYPRION AMERICANUS"
NA,NA
"ALLIGATOR, AMERICAN ","ALLIGATOR MISSISSIPPIENSIS"
"AMPHIUMAS **","AMPHIUMA"
"ANOLE, GREEN ","ANOLIS CAROLINENSIS"
"BIGEYE, SHORT ","PRISTIGENYS ALTA"
"BLEUFER ","POTAMILUS PURPURATUS"
"BULLHEADS **","AMEIURUS"
"CARP, BIGHEAD ","HYPOPHTHALMICHTHYS NOBILIS"
"CARP, GRASS ","CTENOPHARYNGODON IDELLA"
"CARP, SILVER ","HYPOPHTHALMICHTHYS MOLITRIX"
"CATFISH, GAFFTOPSAIL ","BAGRE MARINUS"
"CATFISH, HARDHEAD ","ARIOPSIS FELIS"
"COOTER, RIVER ","PSEUDEMYS CONCINNA"
"CRAYFISHES, FRESHWATER **","ASTACOIDEA"
"DRIFTFISH, BLACK ","HYPEROGLYPHE BYTHITES"
"DRUM, BLACKBAR ","PAREQUES IWAMOTOI"
"FLOUNDER, WITCH ","GLYPTOCEPHALUS CYNOGLOSSUS"
"FROG, PIG ","LITHOBATES GRYLIO"
"GAR, ALLIGATOR ","LEPISOSTEUS SPATULA"
"GAR, LONGNOSE ","LEPISOSTEUS OSSEUS"
"GAR, SHORTNOSE ","LEPISOSTEUS"
"GAR, SPOTTED ","LEPISOSTEUS OCULATUS"
"GOBY, VIOLET ","GOBIOIDES BROUSSONNETI"
"JACK, BLACK ","CARANX LUGUBRIS"
"KINGSNAKE, SPECKLED","LAMPROPELTIS HOLBROOKI"
"MAPLELEAF ","QUADRULA QUADRULA"
"MUSSELS, FW **","UNIONIDAE"
"PALAEMONETES **","PALAEMONETES"
"PEEPER, SPRING ","PSEUDACRIS CRUCIFER"
"PROCAMBARUS (CRAYFISHES) **","PROCAMBARUS"
"RACER ","COLUBER CONSTRICTOR"
"RAVEN, SEA ","HEMITRIPTERUS AMERICANUS"
"REPTILES","REPTILIA "
"ROCKSNAIL, FLORIDA ","Stramonita haemastoma "
"ROVER, CRIMSON ","ERYTHROCLES MONODI"
"RUDDERFISH **","KYPHOSIDAE"
"RUDDERFISHES **","KYPHOSUS"
"SCORPIONFISH, LONGSNOUT ","PONTINUS CASTOR"
"SCORPIONFISH, SPOTTED ","SCORPAENA PLUMIERI"
"SHARK, NIGHT ","CARCHARHINUS SIGNATUS"
"SHARK, PORBEAGLE ","LAMNA NASUS"
"SHARK, THRESHER, BIGEYE ","ALOPIAS SUPERCILIOSUS"
"SHARK, TOPE","GALEORHINUS GALEUS"
"SHARK, WHITETIP, OCEANIC ","CARCHARHINUS LONGIMANUS"
"SHRIMP, FW **","MACROBRACHIUM"
"SLIDER ","TRACHEMYS SCRIPTA"
"SNAKE, BLACK RAT","PANTHEROPHIS OBSOLETUS"
"SNAKE, DIAMONDBACK WATER ","NERODIA RHOMBIFER"
"SNAKE, GREEN WATER ","NERODIA CYCLOPION"
"SNAKE, ROUGH GREEN ","OPHEODRYS AESTIVUS"
"SNAKE, SOUTHERN WATER ","NERODIA FASCIATA"
"SNAKE, WATER, PLAIN-BELLIED","NERODIA ERYTHROGASTER"
"SNAKES, GARTER (RIBBON) **","THAMNOPHIS"
"THREERIDGE ","AMBLEMA PLICATA"
"TOADS, EUROPEAN SPADEFOOT **","PELODYTIDAE"
"TOADS, TRUE","BUFO "
"TREEFROG, GRAY","DRYOPHYTES VERSICOLOR"
"TREEFROG, GREEN","RANIDAE "
"TREEFROG, GREEN","DRYOPHYTES CINEREUS"
"TURTLE, ALLIGATOR SNAPPING ","MACROCHELYS TEMMINCKII"
"TURTLE, COMMON MUSK ","STERNOTHERUS ODORATUS"
"TURTLE, MISSISSIPPI MAP **","GRAPTEMYS PSEUDOGEOGRAPHICA KOHNII"
"TURTLE, PAINTED ","CHRYSEMYS PICTA"
"TURTLE, RAZOR-BACKED MUSK ","STERNOTHERUS CARINATUS"
"TURTLE, SLIDERS **","PSEUDEMYS"
"TURTLE, SOFT-SHELL **","TRIONYX"
"TURTLES, BABY (YOUNG FW) **","CHRYSEMYS"
"TURTLES, MUD **","KINOSTERNON"
"TURTLES, NORTH AMERICAN SOFTSHELL **","APALONE"
"TURTLES, SNAPPING ","CHELYDRA SERPENTINA"
"WASHBOARD ","MEGALONAIAS NERVOSA"
"FLOUNDER, FOURSPOT ","PARALICHTHYS OBLONGUS"
"CODFISHES **","GADIDAE"
"EELS, SNAKE **","OPHICHTHIDAE"
"KILLIFISHES **","CYPRINODONTIDAE"
"KINGFISH, SOUTHERN ","MENTICIRRHUS AMERICANUS"
"SHRIMP, FARFANTEPENAEUS SPP **","FARFANTEPENAEUS"
"SQUID, ATLANTIC BRIEF ","LOLLIGUNCULA BREVIS"
"SQUID, LONGFIN LOLIGO ","LOLIGO PEALEII"
"SQUILLA EMPUSA ","SQUILLA EMPUSA"
"ALFONSINO ","BERYX SPLENDENS"
"BLACK MARLIN","ISTIOMPAX INDICA"
"CABRILLA, SPOTTED ","EPINEPHELUS ANALOGUS"
"EMPERORS **","LETHRINIDAE"
"JOBFISH, GREEN /UKU ","APRION VIRESCENS"
"LEATHERSKIN, LARGEMOUTHED ","SCOMBEROIDES LYSAN"
"LIMPETS **","FISSURELLIDAE"
"LOBSTER, BANDED SPINY ","PANULIRUS MARGINATUS"
"MACKEREL, FRIGATE ","AUXIS THAZARD"
"MACKEREL, SNAKE ","GEMPYLUS SERPENS"
"MILKFISH ","CHANOS CHANOS"
"SAILFISH ","ISTIOPHORUS PLATYPTERUS"
"SCAD, MACKEREL ","DECAPTERUS MACARELLUS"
"SEA BASS, GIANT ","STEREOLEPIS GIGAS"
"SEAWEED","PHAEOPHYTA "
"SHARKS, MAKO **","ISURUS"
"SHARKS, THRESHER **","ALOPIAS"
"SPEARFISHES **","TETRAPTURUS "
"STRIPED MARLIN","KAJIKIA AUDAX"
"SUNFISH, OCEAN ","MOLA MOLA"
"TENPOUNDER, HAWAIIAN","ELOPS"
"THREADFINS **","POLYNEMIDAE"
"TUNA, BLUEFIN PACIFIC ","THUNNUS ORIENTALIS"
"TUNA, KAWAKAWA ","EUTHYNNUS AFFINIS"
"CLAM, QUAHOG, NORTHERN ","MERCENARIA MERCENARIA"
"CLAM, SURF, ATLANTIC ","SPISULA SOLIDISSIMA"
"COD, ATLANTIC ","GADUS MORHUA"
"CRAB, ATLANTIC ROCK ","CANCER IRRORATUS"
"CRAB, JONAH ","CANCER BOREALIS"
"CUNNER ","TAUTOGOLABRUS ADSPERSUS"
"FLOUNDER, FOURSPOT","PARALICHTHYS OBLONGUS"
"FLOUNDER, WINTER ","PSEUDOPLEURONECTES AMERICANUS"
"HADDOCK ","MELANOGRAMMUS AEGLEFINUS"
"HAKE, RED ","UROPHYCIS CHUSS"
"HAKE, SILVER ","MERLUCCIUS BILINEARIS"
"HAKE, SOUTHERN ","UROPHYCIS FLORIDANA"
"HERRING, ATLANTIC ","CLUPEA HARENGUS"
"HERRINGS, RIVER **","ALOSA SPP."
"KINGFISH, NORTHERN ","MENTICIRRHUS SAXATILIS"
"LOBSTER, AMERICAN ","HOMARUS AMERICANUS"
"MACKEREL, ATLANTIC ","SCOMBER SCOMBRUS"
"POLLOCK ","POLLACHIUS VIRENS"
"POUT, OCEAN ","ZOARCES"
"PUFFER, NORTHERN ","SPHOEROIDES MACULATUS"
"REDFISH, ACADIAN ","SEBASTES FASCIATUS"
"SCUP ","STENOTOMUS CHRYSOPS"
"SEAROBIN, STRIPED ","PRIONOTUS EVOLANS"
"SPADEFISH **","EPHIPPIDAE "
"TARPON ","MEGALOPS ATLANTICUS"
"TAUTOG ","TAUTOGA ONITIS"
"TOADFISH, OYSTER ","OPSANUS TAU"
"WHELK, CHANNELED ","BUSYCOTYPUS CANALICULATUS"
"WINDOWPANE ","SCOPHTHALMUS AQUOSUS"
"BASS, LARGEMOUTH ","MICROPTERUS SALMOIDES"
"BOARFISHES **","ZEIFORMES"
"CATFISH, WHITE ","AMEIURUS CATUS"
"CLAM, QUAHOG, OCEAN ","ARCTICA ISLANDICA"
"CLAM, RAZOR, ATLANTIC ","ENSIS DIRECTUS"
"CLAM, SOFT ","MYA ARENARIA"
"CONCHS **","STROMBIDAE"
"CRAB, ATLANTIC SAND ","EMERITA TALPOIDA"
"CRAYFISHES **","ASTACIDAE LATREILLE"
"DEALFISH ","TRACHIPTERUS ARCTICUS"
"DORY, BUCKLER","ZENOPSIS CONCHIFERA"
"DORY, BUCKLER ","ZENOPSIS CONCHIFERA"
"FLOUNDER, AMERICAN PLAICE ","HIPPOGLOSSOIDES PLATESSOIDES"
"FLOUNDER, YELLOWTAIL ","LIMANDA FERRUGINEA"
"GARS, SLENDER **","LEPISOSTEUS SPP."
"GOOSEFISH, BLACKFIN ","LOPHIUS GASTROPHYSUS"
"HAKE, OFFSHORE ","MERLUCCIUS ALBIDUS"
"HALIBUT, ATLANTIC ","HIPPOGLOSSUS HIPPOGLOSSUS"
"HERRING, BLUEBACK ","ALOSA AESTIVALIS"
"HOGCHOKER ","TRINECTES MACULATUS"
"HOUNDFISH ","TYLOSURUS CROCODILUS"
"MACKEREL, BULLET ","AUXIS ROCHEI"
"POMPANOS **","TRACHINOTUS "
"RIBBONFISHES **","TRACHIPTERIDAE"
"SALMON, ATLANTIC ","SALMO SALAR"
"SEAROBIN, NORTHERN ","PRIONOTUS CAROLINUS"
"SEATROUTS **","CYNOSCION"
"SHARK, THRESHER","ALOPIAS VULPINUS"
"SHARK, WHITETIP, OCEANIC","CARCHARHINUS LONGIMANUS"
"SKATE, CLEARNOSE ","RAJA EGLANTERIA"
"SKATE, LITTLE ","LEUCORAJA ERINACEA"
"SKATE, SMOOTH ","MALACORAJA SENTA"
"SKATE, WINTER ","LEUCORAJA OCELLATA"
"SNAKEHEAD, NORTHERN ","CHANNA"
"SQUID, SHORTFIN ILLEX ","ILLEX ILLECEBROSUS"
"WHELK, WAVED ","BUCCINUM UNDATUM"
"CATFISHES **","SILURIFORMES"
"CRAB, GREEN ","CARCINUS MAENAS"
"CRAB, LADY ","OVALIPES OCELLATUS"
"CRAB, NORTHERN STONE ","LITHODES MAJA"
"HAGFISHES **","MYXINIDAE"
"HAKES, MERLUCCIUS (GENUS) **","MERLUCCIUS"
"LANCE, AMERICAN SAND ","AMMODYTES AMERICANUS"
"LUMPFISH ","CYCLOPTERUS LUMPUS"
"MOLLUSKS **","MOLLUSCA"
"MUMMICHOG ","FUNDULUS HETEROCLITUS"
"RAY, COWNOSE ","RHINOPTERA BONASUS"
