Release date,Department,Year,Date,Species (parts),Fishery type,Action (close/open),base on assumption,Reason,Type of Action,Where,S. Latitude (°N),N. Latitude (°N),Source,Link,Notes
"January 6, 2012",WDFW,2012,01-24-2012,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"May 14, 2012",WDFW,2012,05-01-2012,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_051412.pdf,
"May 14, 2012",WDFW,2012,06-01-2012,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/WA_051412.pdf,
"January 6, 2012",WDFW,2012,01-24-2012,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"January 6, 2012",WDFW,2012,02-23-2012,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,
"January 6, 2012",WDFW,2012,03-25-2012,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2011-2012%20files/ODFW_letter_01062012.pdf,dcument says the gear redustion is remove after 30 days that the area opens to state fisheries.
"November 13, 2012",WDFW,2012,12-01-2012,Dungeness Crab,commercial,close,,body condition,closure,"CA, OR, WA",38.7666488,48.48,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_seasondelay.pdf,
"December 10, 2012",ODFW,2012,12-31-2012,Dungeness Crab,commercial,open,,body condition,closure,OR,41.9981226,46.15,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/OR_opener2013.pdf,
"December 20, 2012",CDFG,2012,1-15-2013,Dungeness Crab,commercial,open,,body condition,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/Ca_3rd_delay_notice.pdf,
"December 10, 2012",WDFW,2012,12-31-2012,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_opening2013.pdf,
,Camila,2012,1-24-2013,Dungeness Crab,commercial,open,yes,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,,it does not specify when the gear reduction is removed but we are assuming is when the area north to Klipsan beach opens
"December 21, 2012",WDFW,2013,01-24-2013,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_notice12212012.pdf,
"January 10, 2012",WDFW,2013,01-24-2013,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,if the 20 fishable days criterias have been met
"January 10, 2013",WDFW,2013,01-21-2013,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,05-01-2013,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,01-21-2013,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,05-01-2013,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,06-01-2013,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,01-21-2013,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,02-23-2013,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"January 10, 2013",WDFW,2013,03-25-2013,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/WA_01102013.pdf,
"July 1, 2013",CDFW,2013,07-15-2013,Dungeness Crab,commercial,open,,summer extension,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/CA_crab_extension_2013.pdf,
"July 1, 2013",CDFW,2013,08-14-2013,Dungeness Crab,commercial,close,,summer extension,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2012-2013%20files/CA_crab_extension_2013.pdf,
"November 22, 2013",WDFW,2013,12-01-2013,Dungeness Crab,commercial,close,,body condition,closure,"OR, WA",41.9981226,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2013/notice_22nov13.pdf,
"December 5, 2013",WDFW,2013,12-16-2013,Dungeness Crab,commercial,open,,body condition,closure,OR to Klipsan Beach WA,41.9981226,46.28,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec05_2013.pdf,
"December 27, 2013",WDFW,2014,01-15-2014,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to WA-Canada border,46.28,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,01-15-2014,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,05-01-2014,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,01-15-2014,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,05-01-2014,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,06-01-2014,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,01-15-2014,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.0215,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,02-14-2014,Dungeness Crab,commercial,close,yes,SMA,gear reduction,Makah SMA,48.0215,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"December 27, 2013",WDFW,2014,03-16-2014,Dungeness Crab,commercial,open,yes,SMA,gear reduction,Makah SMA,48.0215,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec27_2013.pdf,
"November 22, 2014",ODFW,2014,12-01-2014,Dungeness Crab,commercial,open,,body condition,closure,"Point Arena CA, OR to Klipsan beach WA",38.911167,46.28,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/2014Dec1OpenerIndustryNotice.pdf,
"November 22, 2014",WDFW,2014,12-01-2014,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_11222014LTF.pdf,
"December 2, 2014",WDFW,2014,12-31-2014,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"December 2, 2014",WDFW,2014,12-01-2014,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"December 2, 2014",WDFW,2015,01-03-2015,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to Destruction Island,46.28,47.405,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"December 2, 2014",WDFW,2014,12-01-2014,Dungeness Crab,commercial,close,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"January 9, 2015",WDFW,2015,01-15-2015,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"December 2, 2014",WDFW,2014,12-31-2014,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"December 2, 2014",WDFW,2014,4-4-2015,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_12022014LTF.pdf,
"January 9, 2015",WDFW,2015,01-12-2015,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"January 9, 2015",WDFW,2015,05-01-2015,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"January 9, 2015",WDFW,2015,06-01-2015,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"January 9, 2015",WDFW,2015,01-12-2015,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"January 9, 2015",WDFW,2015,02-15-2015,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WANorthofDI01092015.pdf,
"February 11, 2015",WDFW,2015,03-17-2015,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_02112015.pdf,
"June 5, 2015",WDFW,2015,06-05-2015,Dungeness Crab,commercial/recreational,close,,domoic acid,closure,"OR-WA border to Point Chehalis, including Clumbia River and Willapa River",46.15,46.5318,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/IndustryNoticeDomoicAcidClosure.pdf,
"August 3, 2015",WDFW,2015,08-03-2015,Dungeness Crab,commercial/recreational,close,,domoic acid,closure,Point Chehalis to the Queets river,46.5318,47.52833333,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_08032015.pdf,
"August 28, 2015",WDFW,2015,08-28-2015,Dungeness Crab,commercial/recreational,open,,domoic acid,closure,Point Chehalis to WA-Canada Border,46.5318,48.48,PSMFC,http://www.psmfc.org/crab/2014-2015%20files/WA_08282015.PDF,
"November 24, 2015",WDFW,2015,12-1-2015,Dungeness Crab,commercial,close,,domoic acid,closure,CA-OR border to Destruction Island,41.9981226,47.405,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_nov2415.pdf,
"December 21, 2015",WDFW,2016,1-4-2016,Dungeness Crab,commercial,open,,domoic acid,closure,CA-OR border to Destruction Island,41.9981226,47.405,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec21_2015.pdf,
"December 21, 2015",WDFW,2015,12-1-2015,Dungeness Crab,commercial,close,,head-start,closure,Klipsan Beach to WA-Canada border,46.28,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec21_2015.pdf,
"December 21, 2015",WDFW,2016,1-15-2016,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to WA-Canada border,46.28,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec21_2015.pdf,
"December 21, 2015",WDFW,2016,1-1-2016,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec21_2015.pdf,
"December 21, 2015",WDFW,2016,3-1-2016,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/letters/letter_dec21_2015.pdf,
"January 26, 2016",WDFW,2016,2-1-2016,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,1-29-2016,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,5-1-2016,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,6-1-2016,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,1-28-2016,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,2-29-2016,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"January 26, 2016",WDFW,2016,3-31-2016,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,WDFW,https://wdfw.wa.gov/sites/default/files/fishing/commercial/crab/coastal/2016/notice_26jan16.pdf,
"November 18, 2016",ODFW,2016,11-18-2016,Dungeness Crab,recreational,close,,domoic acid,closure,CA-OR border to Tillamook Head OR,41.9981226,45.9414945,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Recreational%20crabbing%20closed%20from%20Tillamook%20Head%20to%20California%20border.pdf,"This includes Dungeness and red rock crab harvested in bays and
estuaries, off docks, piers, jetties, and the ocean."
"November 22, 2016",ODFW,2016,12-01-2016,Dungeness Crab,commercial,close,,domoic acid,closure,OR,41.9981226,46.15,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/OR_11222016.pdf,
"November 22, 2016",WDFW,2016,12-01-2016,Dungeness Crab,commercial,close,,domoic acid,closure,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/WA_11222016.pdf,
"November 23, 2016",WDFW,2016,12-01-2016,Dungeness Crab,commercial,close,,domoic acid,closure,Klipsan Beach to WA-Canada border,46.28,48.48,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/January%207%20opening%20coast%20wide.pdf,
"December 9, 2016",ODFW,2016,12-18-2016,Dungeness Crab,commercial,open,,domoic acid,closure,CA-OR border to Cape Blanco,41.9981226,42.5,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/IndustryNotice_120916.pdf,
"December 21, 2016",ODFW,2017,01-01-2017,Dungeness Crab,commercial,open,,domoic acid,closure,Cape Blanco to OR-WA border,42.5,46.15,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/IndustryNoticeNorthOpener_122116.pdf,
"December 21, 2016",WDFW,2017,01-01-2017,Dungeness Crab,commercial,close,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/WA_openJan.pdf,
"December 21, 2016",WDFW,2017,01-04-2017,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/WA_openJan.pdf,
"December 21, 2016",WDFW,2017,01-07-2017,Dungeness Crab,commercial,open,,domoic acid,closure,Klipsan Beach to Queets River,46.28,47.317,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/WA_openJan.pdf,Reason not clear. domoic acid and/or head-start? 
"January 10, 2017",WDFW,2017,01-15-2017,Dungeness Crab,commercial,open,,head-start,closure,Queets River to WA-Canada Border,47.317,48.48,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.%20North%20of%20Queets%20Open.2017.FINAL.pdf,
"November 23, 2016",WDFW,2017,01-04-2017,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/January%207%20opening%20coast%20wide.pdf,
"November 23, 2016",WDFW,2017,03-04-2017,Dungeness Crab,commercial,open,,SMA,closure,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/January%207%20opening%20coast%20wide.pdf,
"January 10, 2017",WDFW,2017,01-12-2017,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.%20North%20of%20Queets%20Open.2017.FINAL.pdf,
"January 10, 2017",WDFW,2017,05-01-2017,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.%20North%20of%20Queets%20Open.2017.FINAL.pdf,
"January 10, 2017",WDFW,2017,06-01-2017,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.%20North%20of%20Queets%20Open.2017.FINAL.pdf,
"January 10, 2017",WDFW,2017,01-12-2017,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.%20North%20of%20Queets%20Open.2017.FINAL.pdf,
"February 10, 2017",WDFW,2017,02-12-2017,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.02.10.17.Makah%20SMA.pdf,
"February 10, 2017",WDFW,2017,03-16-2017,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/Industry%20Notice.02.10.17.Makah%20SMA.pdf,
"February 2, 2017",ODFW,2017,02-02-2017,Dungeness Crab,commercial/recreational,close,,domoic acid,closure,Coos Bay North Jetty to Heceta Head,43.216,44.083,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/CrabIndustryNotice%20020217.pdf,Effective for al crabs. Here specifies recreational http://www.psmfc.org/crab/2016-2017%20files/170202crab_closure.pdf
"February 8, 2017",ODFW,2017,02-08-2017,Dungeness Crab,commercial,close,,domoic acid,evisceration order,Coos Bay North Jetty to Heceta Head,43.216,44.083,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/CrabIndustryNotice%20020817.PDF,
"February 10, 2017",ODFW,2017,02-10-2017,Dungeness Crab,commercial,open,,domoic acid,evisceration order,Coos Bay North Jetty to Heceta Head,43.216,44.083,PSMFC,http://www.psmfc.org/crab/2016-2017%20files/CrabIndustryNotice%20021017%20FINAL.PDF,
"November 17, 2017",WDFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition,closure,WA,46.15,48.48,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%2011.17.17.FINAL.pdf,
"November 20, 2017",CDFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition,closure,Mendocino to Del Norte,38.7666488,41.9981226,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/2017-18_1DECDELAY_DCRAB_NORTHOPENER.pdf,
"November 22, 2017",ODFW,2017,12-01-2017,Dungeness Crab,commercial,close,,body condition/biotoxin,closure,OR,41.9981226,46.15,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/171122shellfish.pdf,Same info tha line 215 but is mentions SOME BAY ANS ESTUARIES ARE OPEN. Link has a map with areas
"December 7, 2017",WDFW,2017,12-31-2017,Dungeness Crab,commercial,open,,body condition,closure,Point Arenas to Klipsan Beach,38.7666488,46.28,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%2012.7.17.FINAL.pdf,
"January 10, 2018",WDFW,2018,01-28-2018,Dungeness Crab,commercial,open,,head-start,closure,Klipsan Beach to WA-Canada border,46.28,48.48,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,01-25-2018,Dungeness Crab,commercial,open,,head-start,gear reduction,OR-WA border to Klipsan Beach,46.15,46.28,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,01-25-2018,Dungeness Crab,commercial,close,,SMA,closure,"Quinault SMA, Copalis River to Raft River",47.08,47.28,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,01-25-2018,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,05-01-2018,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,06-01-2018,Dungeness Crab,commercial,open,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,01-25-2018,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,02-25-2018,Dungeness Crab,commercial,close,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
"January 10, 2018",WDFW,2018,02-28-2018,Dungeness Crab,commercial,open,,SMA,gear reduction,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Nof%20Klipsanopener.01.18.FINAL.pdf,
March 13 2018,WDFW,2018,03-22-2018,Dungeness Crab,commercial,close,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%2003%2022%2018.open%20northen%20portion%20QIN.SMA.pdf,
March 13 2018,WDFW,2018,04-23-2018,Dungeness Crab,commercial,open,,SMA,gear reduction,Split Rock to Raft River,47.245,47.28,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%2003%2022%2018.open%20northen%20portion%20QIN.SMA.pdf,
"May 3, 2018",WDFW,2018,05-10-2018,Dungeness Crab,commercial,close,,SMA,gear reduction,Copalis River to Joe Creek,47.08,47.1225,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%20QIN%20SMA%20opening_May%202018%20FINAL.pdf,
"May 3, 2018",WDFW,2018,,Dungeness Crab,commercial,open,,SMA,gear reduction,Copalis River to Joe Creek,47.08,47.1225,PSMFC,http://www.psmfc.org/crab/2017-2018%20files/Industry%20Notice%20QIN%20SMA%20opening_May%202018%20FINAL.pdf,Date not specified
"November 14, 2018",WDFW,2018,12-01-2018,Dungeness Crab,commercial,close,,body condition,closure,"CA, OR, WA",38.7666488,48.48,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice%2011.14.18%20FINAL.pdf,
"December 29, 2018",WDFW,2018,01-04-2019,Dungeness Crab,commercial,open,,body condition,closure,Cape Arago OR to Klipsan Beach WA,43.17,46.28,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice%20S.%20of%20Klipsan%20opening%2012.29.18_final.pdf,
"January 8, 2019",WDFW,2019,01-15-2019,Dungeness Crab,commercial,open,,head-start,closure,Destruction Island to WA-Canada Border,47.405,48.48,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice_opening%20north%20of%20DI.2019.FINAL.pdf,
"January 8, 2019",WDFW,2019,01-12-2019,Dungeness Crab,commercial,close,,SMA,closure,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice_opening%20north%20of%20DI.2019.FINAL.pdf,
"January 8, 2019",WDFW,2019,05-01-2019,Dungeness Crab,commercial,close,,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice_opening%20north%20of%20DI.2019.FINAL.pdf,
"January 8, 2019",WDFW,2019,06-01-2019,Dungeness Crab,commercial,open,yes,SMA,gear reduction,"Quileute SMA, Destruction Island to Cape Johnson",47.405,47.58,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice_opening%20north%20of%20DI.2019.FINAL.pdf,
"January 8, 2019",WDFW,2019,01-12-2019,Dungeness Crab,commercial,close,,SMA,closure,Makah SMA,48.02,48.195,PSMFC,http://www.psmfc.org/crab/2018-2019%20Files/Industry%20Notice_opening%20north%20of%20DI.2019.FINAL.pdf,
