Year,Number,Date,Species (parts),Fishery type,Action (close/open),Reason,Type of action,Where (south to north),S. Latitude (°N),N. Latitude (°N),Link,Notes
2018,Chris,30-Jun-18,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Central region (Sonoma/Mendocino county line sorth),32.534343,38.766488,,
2018,Chris,30-Jul-18,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Northern region (Sonoma/Mendocino county line north),38.766488,42,,
2018,18-044,7-Sep-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Del Norte county,41.464747,41.9981226,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-044.aspx,
2018,18-046,13-Sep-18,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-046.aspx,
2018,18-049,17-Oct-18,Lobster (viscera/roe),Commercial/recreational,close,Domoic acid,advisory,Anacapa Island (Ventura County),NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-049.aspx,
2018,18-052,24-Oct-18,Dungeness crab (whole),Recreational,close,Domoic acid,advisory,Patrick's Point (41° 9.0' N) north,41.15,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-052.aspx,
2018,18-053,31-Oct-18,Mussels (whole),Recreational,open,Annual quarantine,closure,Mendocino county south,32.534343,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-053.aspx,
2018,18-054,1-Nov-18,Dungeness crab (viscera),Commercial/recreational,close,Domoic acid,advisory,Bodega Head (38° 18’ N)  to Russian River (38.450597),38.3,38.450597,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-054.aspx,
2018,18-057,19-Nov-18,"Mussels (whole), scallops (whole), clams (whole) ",Recreational,open,Domoic acid,advisory,Humboldt and Del Norte counties,40.00126,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-057.aspx,
2018,18-058,19-Nov-18,Lobsters (whole),Commercial/recreational,open,Domoic acid,advisory,"Ventura county, including state waters around Anacapa Island",34.047122,34.376279,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-058.aspx,
2018,18-059,3-Dec-18,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,Bodega Head (38° 18’ N)  to Russian River (38.450597),38.3,38.450597,https://www.cdph.ca.gov/Programs/OPA/Pages/NR18-059.aspx,
2019,,18-Jan-19,Dungeness crab (whole),Recreational,open,Domoic acid,advisory,Patrick's Point (41° 9.0' N) north,41.15,42,https://www.times-standard.com/2019/01/18/domoic-acid-no-longer-a-threat-opening-of-waters-north-of-patricks-point-to-crabbing/,https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=164733&inline
2019,19-009,1-May-19,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/NR19-009.aspx,
2019,19-010,3-May-19,Raw oysters (whole),Commercial/recreational,close,gastrointestinal illnesses,advisory,"Estero El Cardon, Baja California Sur, Mexico",NA,NA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR19-010.aspx,
2019,SN19-001,10-May-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Santa Cruz county,36.851678,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-001.aspx,
2019,SN19-002,23-May-19,Rock crab (whole),Commercial/recreational,open,Domoic acid,advisory,Cape Mendocino (40° 30.00’) to Humboldt Bay north jetty (40° 46.15’),40.5,40.76916667,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-002.aspx,"The commercial rock crab fishery remains closed and a health advisory remains in effect for rock crab in all waters:
From the Mendocino/Humboldt County line (40° 00.00’ N. Lat.) to 40° 30.00’ N. Lat. (near Cape Mendocino, Humboldt County).
From the north jetty of the Humboldt Bay entrance (40° 46.15’ N. Lat.) to the California/Oregon border (42° 00.00’ N. Lat.)."
2019,SN19-003,28-May-19,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Santa Cruz county,36.851678,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-003.aspx,
2019,SN19-004,7-Jun-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Santa Barbara and San Luis Obispo counties,34.376279,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-004.aspx,
2019,SN19-006,21-Jun-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-006.aspx,
2019,SN19-007,27-Jun-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-007.aspx,
2019,Chris,30-Jun-19,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Central region (Sonoma/Mendocino county line sorth),32.534343,38.766488,,
2019,SN19-008,23-Jul-19,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Marin and Sonoma counties,37.818542,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-008.aspx,Announcement for two areas: SB county and Marin/Sonoma counties
2019,SN19-008,23-Jul-19,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,Santa Barbara county,34.376279,34.972058,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-008.aspx,Announcement for two areas: SB county and Marin/Sonoma counties
2019,Chris,30-Jul-19,Dungeness crab (whole),Commercial/recreational,open,End-of-season,closure,Northern region (Sonoma/Mendocino county line north),38.766488,42,,
2019,SN19-009,13-Aug-19,"Scallops (whole), clams (whole)",Recreational,open,PSP,advisory,San Luis Obispo county,34.972058,35.795184,https://www.cdph.ca.gov/Programs/OPA/Pages/sn19-009.aspx,
2019,SN19-010,4-Sep-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-010.aspx,
2019,SN19-011,15-Oct-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,Domoic acid,advisory,Mendocino and Humboldt counties ,38.766488,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-011.aspx,
2019,SN19-012,31-Oct-19,Mussels (whole),Recreational,open,Annual quarantine,closure,Del Norte county,41.464747,42,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-012.aspx,Announcement for: all coastal counties except for Humboldt and Mendocino counties
2019,SN19-012,31-Oct-19,Mussels (whole),Recreational,open,Annual quarantine,closure,Sonoma county south,32.534343,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-012.aspx,Announcement for: all coastal counties except for Humboldt and Mendocino counties
2019,SN19-012,31-Oct-19,"Scallops (whole), clams (whole)",Recreational,open,Annual quarantine,closure,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-012.aspx,
2019,SN19-013,1-Nov-19,Dungeness crab (viscera),Recreational,close,Domoic acid,advisory,"Point Arena (38° 57.5′ N) to Shelter Cove, Humboldt County (40° 01′ N)",38.95833333,40.01666667,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-013.aspx,Announcement for two areas: Shelter Cove-Point Arena and Point Reyes-Pillar Point
2019,SN19-013,1-Nov-19,Dungeness crab (viscera),Recreational,close,Domoic acid,advisory,"Pillar Point (37° 30.000' N) to Point Reyes (38° 0'.00"" N)",37.5,38,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-013.aspx,
2019,SN19-014,19-Nov-19,"Mussels (whole), scallops (whole), clams (whole) ",Recreational,open,Domoic acid,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-014.aspx,
2019,SN19-015,22-Nov-19,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,Pillar Point (37° 30') to Point Reyes (38° 0') - state waters,37.5,38,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-015.aspx,
2019,SN19-016,10-Dec-19,Dungeness crab (whole),Commercial/recreational,open,Domoic acid,advisory,Point Arena (38° 57.5′ N) to Shelter Cove (40° 01′ N) - state waters,38.95833333,40.01666667,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-016.aspx,
2019,SN19-017,20-Dec-19,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,Domoic acid,advisory,Mendocino county,38.766488,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/SN19-017.aspx,
2020,SN20-001,1-May-20,Mussels (whole),Recreational,close,Annual quarantine,closure,California coast,32.534343,42,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-001.aspx,
2020,SN20-002,1-Jul-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,"Monterey, Santa Cruz, San Mateo, and San Francisco counties",35.795184,37.818542,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-002.aspx,
2020,SN20-003,1-Sep-20,"Clams (whole), scallops (whole)",Recreational,open,PSP,advisory,San Francisco and San Mateo counties,37.107296,37.818542,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-003.aspx,
2020,SN20-004,29-Sep-20,"Clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Santa Cruz and Monterey counties,35.795184,37.107296,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-004.aspx,
2020,SN20-005,1-Nov-20,Mussels (whole),Recreational,open,Annual quarantine,closure,"Del Norte, Humboldt, Mendocino counties",38.766488,41.9981226,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-005.aspx,
2020,SN20-005,1-Nov-20,Mussels (whole),Recreational,open,Annual quarantine,closure,San Diego to Marin counties,32.534343,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-005.aspx,
2020,SN20-006,12-Nov-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-006.aspx,"The California Department of Public Health (CDPH) is advising consumers not to eat sports-harvested mussels, clams, or whole scallops from Humboldt County."
2020,SN20-007,18-Nov-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Mendocino county,38.766488,40.00126,cdph.ca.gov/Programs/OPA/Pages/SN20-007.aspx,
2020,SN20-008,28-Dec-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Humboldt county,40.00126,41.464747,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-008.aspx,
2020,SN20-009,31-Dec-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Sonoma county,38.297137,38.766488,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-009.aspx,
2020,SN20-009,31-Dec-20,"Mussels (whole), clams (whole), scallops (whole)",Recreational,close,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/SN20-009.aspx,
2021,SN21-001,12-Jan-21,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Mendocino county,38.766488,40.00126,https://www.cdph.ca.gov/Programs/OPA/Pages/SN21-001.aspx,
2021,SN21-002,8-Feb-21,"Mussels (whole), clams (whole), scallops (whole)",Recreational,open,PSP,advisory,Marin county,37.818542,38.297137,https://www.cdph.ca.gov/Programs/OPA/Pages/SN21-002.aspx,
